time,away_description,away_change,score,home_change,home_description
5:08.0, , ,13-15, ,Defensive rebound by T. Parker
4:59.0, , ,13-15, ,L. Aldridge misses 2-pt jump shot from 15 ft
4:58.0,Defensive rebound by C. Anthony, ,13-15, , 
4:43.0,K. Porziņģis makes 2-pt jump shot from 3 ft,+2,15-15, , 
4:27.0, , ,15-17,+2,M. Ginóbili makes 2-pt layup from 2 ft (assist by T. Parker)
4:27.0,New York full timeout, ,15-17, , 
4:27.0, , ,15-17, ,P. Mills enters the game for T. Parker
4:27.0, , ,15-17, ,B. Diaw enters the game for T. Duncan
4:27.0,L. Thomas enters the game for K. Porziņģis, ,15-17, , 
4:11.0,C. Anthony misses 2-pt jump shot from 15 ft, ,15-17, , 
4:10.0, , ,15-17, ,Defensive rebound by M. Ginóbili
3:54.0, , ,15-17, ,M. Ginóbili misses 2-pt jump shot from 4 ft (block by L. Thomas)
3:52.0,Defensive rebound by C. Anthony, ,15-17, , 
3:47.0,L. Thomas makes 2-pt layup from 1 ft (assist by C. Anthony),+2,17-17, , 
3:39.0, , ,17-17, ,K. Leonard misses 2-pt jump shot from 16 ft
3:38.0,Defensive rebound by R. Lopez, ,17-17, , 
3:28.0,L. Thomas makes 3-pt jump shot from 23 ft (assist by A. Afflalo),+3,20-17, , 
3:01.0, , ,20-17, ,L. Aldridge misses 2-pt jump shot from 9 ft
3:01.0, , ,20-17, ,Offensive rebound by Team
3:01.0,L. Galloway enters the game for J. Calderón, ,20-17, , 
2:58.0, , ,20-19,+2,M. Ginóbili makes 2-pt layup at rim (assist by B. Diaw)
2:37.0,R. Lopez misses 2-pt hook shot from 7 ft, ,20-19, , 
2:36.0, , ,20-19, ,Defensive rebound by K. Leonard
2:24.0, , ,20-19, ,M. Ginóbili misses 3-pt jump shot from 24 ft
2:24.0,Defensive rebound by L. Galloway, ,20-19, , 
2:18.0,L. Galloway makes 2-pt jump shot from 18 ft,+2,22-19, , 
1:55.0, , ,22-19, ,Shooting foul by L. Thomas (drawn by K. Leonard)
1:55.0, , ,22-19, ,K. Leonard misses free throw 1 of 2
1:55.0, , ,22-19, ,Offensive rebound by Team
1:55.0,J. Grant enters the game for A. Afflalo, ,22-19, , 
1:55.0, , ,22-20,+1,K. Leonard makes free throw 2 of 2
1:32.0,J. Grant misses 3-pt jump shot from 25 ft, ,22-20, , 
1:31.0, , ,22-20, ,Defensive rebound by K. Leonard
1:24.0, , ,22-20, ,K. Leonard misses 3-pt jump shot from 24 ft
1:23.0,Defensive rebound by J. Grant, ,22-20, , 
1:14.0,C. Anthony makes 3-pt jump shot from 25 ft (assist by J. Grant),+3,25-20, , 
1:00.0, , ,25-22,+2,K. Leonard makes 2-pt jump shot from 8 ft (assist by P. Mills)
0:44.0,L. Thomas makes 3-pt jump shot from 24 ft (assist by L. Galloway),+3,28-22, , 
0:31.0, , ,28-22, ,Shooting foul by C. Anthony (drawn by M. Ginóbili)
0:31.0, , ,28-23,+1,M. Ginóbili makes free throw 1 of 2
0:31.0,K. Porziņģis enters the game for R. Lopez, ,28-23, , 
0:31.0, , ,28-24,+1,M. Ginóbili makes free throw 2 of 2
0:13.0,C. Anthony misses 2-pt layup from 1 ft (block by K. Leonard), ,28-24, , 
0:12.0, , ,28-24, ,Defensive rebound by L. Aldridge
0:09.0, , ,28-24, ,Shooting block foul by L. Galloway (drawn by P. Mills)
0:09.0, , ,28-25,+1,P. Mills makes free throw 1 of 2
0:09.0, , ,28-25, ,D. West enters the game for L. Aldridge
0:09.0, , ,28-26,+1,P. Mills makes free throw 2 of 2
0:02.0,Shooting foul by M. Ginóbili (drawn by K. Porziņģis), ,28-26, , 
0:02.0,K. Porziņģis makes free throw 1 of 2,+1,29-26, , 
0:02.0,D. Williams enters the game for C. Anthony, ,29-26, , 
0:02.0,K. Porziņģis makes free throw 2 of 2,+1,30-26, , 
0:00.0, , ,30-26, ,M. Ginóbili misses 3-pt jump shot from 31 ft
0:00.0, , ,30-26, ,Offensive rebound by Team
11:44.0,K. Porziņģis misses 2-pt hook shot at rim, ,30-26, , 
11:43.0,Offensive rebound by K. Porziņģis, ,30-26, , 
11:43.0,K. Porziņģis makes 2-pt dunk at rim,+2,32-26, , 
11:29.0, , ,32-26, ,D. West misses 2-pt jump shot from 13 ft
11:28.0,Defensive rebound by D. Williams, ,32-26, , 
11:13.0,L. Thomas misses 2-pt jump shot from 3 ft, ,32-26, , 
11:12.0, , ,32-26, ,Defensive rebound by B. Diaw
11:02.0, , ,32-26, ,Shooting foul by L. Galloway (drawn by J. Simmons)
11:02.0, , ,32-28,+2,J. Simmons makes 2-pt layup from 1 ft (assist by D. West)
11:02.0, , ,32-28, ,J. Simmons misses free throw 1 of 1
11:01.0,Defensive rebound by Team, ,32-28, , 
10:39.0,L. Galloway makes 2-pt layup from 2 ft,+2,34-28, , 
10:21.0, , ,34-28, ,Shooting foul by L. Thomas (drawn by B. Diaw)
10:21.0, , ,34-29,+1,B. Diaw makes free throw 1 of 2
10:21.0, , ,34-30,+1,B. Diaw makes free throw 2 of 2
10:08.0,Shooting foul by P. Mills (drawn by J. Grant), ,34-30, , 
10:08.0,J. Grant makes free throw 1 of 2,+1,35-30, , 
10:08.0,A. Afflalo enters the game for L. Thomas, ,35-30, , 
10:08.0,J. Grant makes free throw 2 of 2,+1,36-30, , 
9:54.0, , ,36-30, ,M. Ginóbili misses 2-pt layup from 1 ft
9:53.0,Defensive rebound by J. Grant, ,36-30, , 
9:47.0,L. Galloway misses 2-pt jump shot from 16 ft, ,36-30, , 
9:45.0,Offensive rebound by Team, ,36-30, , 
9:37.0,K. Porziņģis makes 3-pt jump shot from 25 ft (assist by J. Grant),+3,39-30, , 
9:24.0, , ,39-30, ,D. West misses 2-pt jump shot from 16 ft
9:23.0,Defensive rebound by K. Porziņģis, ,39-30, , 
9:12.0,D. Williams misses 3-pt jump shot from 24 ft, ,39-30, , 
9:11.0, , ,39-30, ,Defensive rebound by B. Diaw
9:05.0, , ,39-30, ,J. Simmons misses 2-pt layup from 2 ft
9:04.0, , ,39-30, ,Offensive rebound by Team
9:04.0, , ,39-30, ,D. Green enters the game for M. Ginóbili
8:56.0, , ,39-32,+2,D. West makes 2-pt jump shot from 19 ft (assist by P. Mills)
8:40.0,Personal foul by B. Diaw (drawn by K. Porziņģis), ,39-32, , 
8:40.0,Official timeout, ,39-32, , 
8:24.0,J. Grant makes 2-pt jump shot from 9 ft,+2,41-32, , 
8:12.0, , ,41-34,+2,B. Diaw makes 2-pt layup from 1 ft (assist by D. Green)
8:04.0,D. Williams misses 2-pt layup at rim, ,41-34, , 
8:03.0, , ,41-34, ,Defensive rebound by D. West
7:48.0, , ,41-36,+2,D. West makes 2-pt jump shot from 7 ft
7:30.0,K. Porziņģis misses 3-pt jump shot from 26 ft, ,41-36, , 
7:29.0, , ,41-36, ,Defensive rebound by D. West
7:22.0, , ,41-36, ,D. Green misses 2-pt jump shot from 15 ft
7:21.0,Defensive rebound by K. Porziņģis, ,41-36, , 
7:12.0,Offensive foul by K. Porziņģis (drawn by P. Mills), ,41-36, , 
7:12.0,Turnover by K. Porziņģis (offensive foul), ,41-36, , 
7:12.0,R. Lopez enters the game for K. Porziņģis, ,41-36, , 
7:12.0,C. Anthony enters the game for L. Galloway, ,41-36, , 
7:12.0, , ,41-36, ,T. Parker enters the game for P. Mills
7:12.0, , ,41-36, ,K. Leonard enters the game for J. Simmons
6:56.0, , ,41-38,+2,B. Diaw makes 2-pt hook shot from 4 ft
6:43.0,Turnover by D. Williams (bad pass; steal by D. Green), ,41-38, , 
6:40.0, , ,41-38, ,D. Green misses 2-pt jump shot from 4 ft (block by A. Afflalo)
6:39.0, , ,41-38, ,Offensive rebound by Team
6:30.0, , ,41-38, ,B. Diaw misses 2-pt hook shot from 5 ft
6:29.0,Defensive rebound by D. Williams, ,41-38, , 
6:10.0,C. Anthony misses 2-pt jump shot from 4 ft (block by D. West), ,41-38, , 
6:06.0,Offensive rebound by C. Anthony, ,41-38, , 
6:05.0,C. Anthony misses 2-pt layup at rim (block by D. West), ,41-38, , 
6:02.0, , ,41-38, ,Defensive rebound by T. Parker
5:58.0, , ,41-38, ,Shooting foul by J. Grant (drawn by D. West)
5:58.0, , ,41-38, ,San Antonio full timeout
5:58.0, , ,41-38, ,L. Aldridge enters the game for B. Diaw
5:58.0,L. Thomas enters the game for J. Grant, ,41-38, , 
5:58.0,J. Calderón enters the game for D. Williams, ,41-38, , 
5:58.0, , ,41-39,+1,D. West makes free throw 1 of 2
5:58.0, , ,41-40,+1,D. West makes free throw 2 of 2
5:43.0,Turnover by J. Calderón (bad pass; steal by D. Green), ,41-40, , 
5:34.0, , ,41-40, ,D. West misses 2-pt jump shot from 18 ft
5:32.0,Defensive rebound by A. Afflalo, ,41-40, , 
5:25.0,C. Anthony misses 3-pt jump shot from 23 ft, ,41-40, , 
5:24.0, , ,41-40, ,Defensive rebound by L. Aldridge
4:58.0, , ,41-40, ,T. Parker misses 2-pt jump shot from 18 ft
4:57.0, , ,41-40, ,Offensive rebound by L. Aldridge
4:56.0, , ,41-40, ,Turnover by L. Aldridge (offensive goaltending)
4:41.0,R. Lopez misses 2-pt jump shot from 16 ft, ,41-40, , 
4:40.0, , ,41-40, ,Defensive rebound by L. Aldridge
4:32.0, , ,41-40, ,Turnover by T. Parker (lost ball)
4:23.0,Turnover by J. Calderón (bad pass; steal by K. Leonard), ,41-40, , 
4:18.0, , ,41-42,+2,K. Leonard makes 2-pt dunk at rim
3:57.0,A. Afflalo misses 2-pt jump shot from 14 ft (block by D. West), ,41-42, , 
3:55.0,Offensive rebound by C. Anthony, ,41-42, , 
3:50.0,C. Anthony misses 2-pt jump shot from 16 ft, ,41-42, , 
3:49.0, , ,41-42, ,Defensive rebound by L. Aldridge
3:35.0, , ,41-44,+2,L. Aldridge makes 2-pt jump shot from 8 ft (assist by T. Parker)
3:28.0,New York full timeout, ,41-44, , 
3:28.0,K. Porziņģis enters the game for L. Thomas, ,41-44, , 
3:12.0,R. Lopez makes 2-pt jump shot from 8 ft (assist by A. Afflalo),+2,43-44, , 
2:52.0, , ,43-44, ,K. Leonard misses 2-pt jump shot from 16 ft
2:50.0, , ,43-44, ,Offensive rebound by K. Leonard
2:46.0, , ,43-46,+2,K. Leonard makes 2-pt jump shot from 6 ft
2:36.0,J. Calderón misses 2-pt jump shot from 15 ft, ,43-46, , 
2:35.0, , ,43-46, ,Defensive rebound by T. Parker
2:26.0, , ,43-48,+2,L. Aldridge makes 2-pt layup from 1 ft (assist by D. West)
2:06.0,Shooting foul by D. West (drawn by C. Anthony), ,43-48, , 
2:06.0,C. Anthony makes free throw 1 of 2,+1,44-48, , 
2:06.0, , ,44-48, ,T. Duncan enters the game for D. West
2:06.0,C. Anthony makes free throw 2 of 2,+1,45-48, , 
1:57.0, , ,45-48, ,Turnover by T. Duncan (traveling)
1:57.0, , ,45-48, ,Violation by Team (delay of game)
1:41.0,C. Anthony misses 2-pt jump shot from 17 ft, ,45-48, , 
1:40.0, , ,45-48, ,Defensive rebound by T. Duncan
1:26.0, , ,45-48, ,Personal foul by C. Anthony (drawn by K. Leonard)
1:12.0, , ,45-50,+2,L. Aldridge makes 2-pt jump shot from 14 ft (assist by T. Parker)
0:57.0,R. Lopez makes 2-pt hook shot from 5 ft (assist by A. Afflalo),+2,47-50, , 
0:44.0, , ,47-52,+2,L. Aldridge makes 2-pt jump shot from 4 ft
0:26.0,A. Afflalo makes 2-pt jump shot from 18 ft (assist by R. Lopez),+2,49-52, , 
0:04.0, , ,49-52, ,L. Aldridge misses 2-pt jump shot from 17 ft
0:02.0, , ,49-52, ,Offensive rebound by K. Leonard
0:01.0, , ,49-52, ,K. Leonard misses 2-pt jump shot from 15 ft
0:00.0,Defensive rebound by K. Porziņģis, ,49-52, , 
11:36.0,J. Calderón misses 2-pt layup from 1 ft, ,49-52, , 
11:35.0,Offensive rebound by K. Porziņģis, ,49-52, , 
11:35.0,K. Porziņģis makes 2-pt layup from 1 ft,+2,51-52, , 
11:22.0, , ,51-52, ,T. Duncan misses 2-pt layup from 1 ft
11:21.0,Defensive rebound by J. Calderón, ,51-52, , 
11:06.0,A. Afflalo misses 2-pt layup from 2 ft (block by D. Green), ,51-52, , 
11:05.0, , ,51-52, ,Defensive rebound by Team
10:53.0, , ,51-52, ,L. Aldridge misses 2-pt jump shot from 17 ft
10:51.0,Defensive rebound by C. Anthony, ,51-52, , 
10:31.0,R. Lopez makes 2-pt jump shot from 5 ft,+2,53-52, , 
10:14.0, , ,53-54,+2,D. Green makes 2-pt jump shot from 19 ft (assist by T. Duncan)
10:01.0,Personal foul by K. Leonard (drawn by C. Anthony), ,53-54, , 
9:55.0,C. Anthony makes 3-pt jump shot from 25 ft (assist by J. Calderón),+3,56-54, , 
9:39.0, , ,56-54, ,T. Parker misses 2-pt jump shot from 17 ft
9:38.0,Defensive rebound by K. Porziņģis, ,56-54, , 
9:23.0,R. Lopez misses 2-pt hook shot from 5 ft, ,56-54, , 
9:22.0,Offensive rebound by C. Anthony, ,56-54, , 
9:21.0,Shooting foul by D. Green (drawn by C. Anthony), ,56-54, , 
9:21.0,C. Anthony misses free throw 1 of 2, ,56-54, , 
9:21.0,Offensive rebound by Team, ,56-54, , 
9:21.0,C. Anthony makes free throw 2 of 2,+1,57-54, , 
9:10.0, , ,57-57,+3,D. Green makes 3-pt jump shot from 24 ft (assist by T. Parker)
8:51.0,R. Lopez makes 2-pt layup from 2 ft,+2,59-57, , 
8:34.0, , ,59-59,+2,L. Aldridge makes 2-pt jump shot from 7 ft
8:21.0,K. Porziņģis misses 2-pt jump shot from 9 ft, ,59-59, , 
8:20.0, , ,59-59, ,Defensive rebound by D. Green
8:15.0, , ,59-59, ,Turnover by K. Leonard (discontinued dribble)
8:02.0,A. Afflalo misses 2-pt jump shot from 7 ft, ,59-59, , 
8:01.0, , ,59-59, ,Defensive rebound by D. Green
7:52.0, , ,59-61,+2,K. Leonard makes 2-pt jump shot from 4 ft
7:43.0,K. Porziņģis makes 3-pt jump shot from 25 ft (assist by C. Anthony),+3,62-61, , 
7:33.0, , ,62-63,+2,T. Duncan makes 2-pt layup from 2 ft (assist by T. Parker)
7:20.0,J. Calderón misses 2-pt jump shot from 10 ft, ,62-63, , 
7:19.0, , ,62-63, ,Defensive rebound by K. Leonard
7:13.0, , ,62-63, ,D. Green misses 2-pt layup from 1 ft (block by C. Anthony)
7:13.0, , ,62-63, ,Offensive rebound by Team
7:00.0, , ,62-63, ,K. Leonard misses 2-pt jump shot from 17 ft (block by C. Anthony)
6:59.0,Defensive rebound by C. Anthony, ,62-63, , 
6:51.0,K. Porziņģis makes 2-pt jump shot from 16 ft (assist by J. Calderón),+2,64-63, , 
6:51.0, , ,64-63, ,San Antonio full timeout
6:38.0, , ,64-63, ,K. Leonard misses 2-pt jump shot from 18 ft
6:37.0,Defensive rebound by K. Porziņģis, ,64-63, , 
6:20.0,C. Anthony misses 2-pt jump shot from 16 ft (block by D. Green), ,64-63, , 
6:20.0, , ,64-63, ,Defensive rebound by Team
6:14.0, , ,64-65,+2,T. Parker makes 2-pt layup from 1 ft
5:58.0,J. Calderón misses 2-pt jump shot from 12 ft, ,64-65, , 
5:57.0, , ,64-65, ,Defensive rebound by K. Leonard
5:37.0, , ,64-65, ,L. Aldridge misses 2-pt jump shot from 9 ft
5:36.0, , ,64-65, ,Offensive rebound by K. Leonard
5:33.0, , ,64-65, ,K. Leonard misses 2-pt jump shot from 3 ft
5:32.0, , ,64-65, ,Offensive rebound by L. Aldridge
5:32.0, , ,64-67,+2,L. Aldridge makes 2-pt layup at rim
5:21.0,Turnover by J. Calderón (bad pass; steal by K. Leonard), ,64-67, , 
5:16.0, , ,64-69,+2,K. Leonard makes 2-pt dunk at rim (assist by T. Parker)
5:16.0,New York full timeout, ,64-69, , 
5:16.0, , ,64-69, ,M. Ginóbili enters the game for D. Green
4:57.0,Shooting foul by T. Parker (drawn by C. Anthony), ,64-69, , 
4:57.0,C. Anthony makes free throw 1 of 2,+1,65-69, , 
4:57.0,C. Anthony makes free throw 2 of 2,+1,66-69, , 
4:45.0, , ,66-69, ,K. Leonard misses 2-pt jump shot from 14 ft
4:44.0,Defensive rebound by K. Porziņģis, ,66-69, , 
4:26.0,J. Calderón misses 2-pt jump shot from 15 ft, ,66-69, , 
4:25.0, , ,66-69, ,Defensive rebound by T. Parker
4:15.0, , ,66-71,+2,T. Parker makes 2-pt jump shot from 8 ft
3:57.0,J. Calderón makes 2-pt jump shot from 14 ft,+2,68-71, , 
3:38.0, , ,68-73,+2,T. Parker makes 2-pt jump shot from 15 ft
3:24.0,K. Porziņģis misses 2-pt hook shot from 8 ft, ,68-73, , 
3:23.0, , ,68-73, ,Defensive rebound by T. Duncan
3:09.0, , ,68-73, ,T. Parker misses 2-pt jump shot from 14 ft
3:08.0,Defensive rebound by A. Afflalo, ,68-73, , 
2:57.0,K. Porziņģis makes 2-pt jump shot from 16 ft (assist by R. Lopez),+2,70-73, , 
2:43.0, , ,70-73, ,L. Aldridge misses 2-pt jump shot from 15 ft
2:42.0,Defensive rebound by J. Calderón, ,70-73, , 
2:29.0,R. Lopez misses 2-pt hook shot from 5 ft, ,70-73, , 
2:28.0, , ,70-73, ,Defensive rebound by M. Ginóbili
2:21.0, , ,70-73, ,Shooting foul by K. Porziņģis (drawn by T. Duncan)
2:21.0, , ,70-73, ,T. Duncan misses free throw 1 of 2
2:21.0, , ,70-73, ,Offensive rebound by Team
2:21.0, , ,70-73, ,P. Mills enters the game for T. Parker
2:21.0, , ,70-73, ,D. Green enters the game for K. Leonard
2:21.0,J. Grant enters the game for J. Calderón, ,70-73, , 
2:21.0,L. Thomas enters the game for K. Porziņģis, ,70-73, , 
2:21.0,L. Galloway enters the game for A. Afflalo, ,70-73, , 
2:21.0, , ,70-73, ,B. Diaw enters the game for L. Aldridge
2:21.0, , ,70-74,+1,T. Duncan makes free throw 2 of 2
2:06.0,Turnover by L. Thomas (bad pass; steal by T. Duncan), ,70-74, , 
1:56.0, , ,70-76,+2,T. Duncan makes 2-pt jump shot from 6 ft (assist by M. Ginóbili)
1:30.0,L. Thomas makes 2-pt hook shot from 6 ft,+2,72-76, , 
1:15.0, , ,72-79,+3,M. Ginóbili makes 3-pt jump shot from 24 ft (assist by D. Green)
1:00.0,L. Thomas misses 3-pt jump shot from 24 ft, ,72-79, , 
1:00.0,Offensive rebound by C. Anthony, ,72-79, , 
0:55.0,C. Anthony misses 2-pt layup from 2 ft (block by D. Green), ,72-79, , 
0:54.0,Offensive rebound by Team, ,72-79, , 
0:54.0,K. O'Quinn enters the game for R. Lopez, ,72-79, , 
0:54.0, , ,72-79, ,D. West enters the game for T. Duncan
0:40.0,L. Thomas misses 2-pt jump shot from 1 ft, ,72-79, , 
0:37.0,Offensive rebound by L. Thomas, ,72-79, , 
0:37.0,L. Thomas misses 2-pt layup from 1 ft, ,72-79, , 
0:35.0, , ,72-79, ,Defensive rebound by B. Diaw
0:24.0, , ,72-79, ,P. Mills misses 3-pt jump shot from 24 ft
0:23.0,Defensive rebound by C. Anthony, ,72-79, , 
0:07.0,Personal foul by D. Green (drawn by C. Anthony), ,72-79, , 
0:00.0,L. Thomas misses 2-pt jump shot from 4 ft, ,72-79, , 
0:00.0,Offensive rebound by L. Galloway, ,72-79, , 
0:00.0,L. Galloway makes 2-pt layup at rim,+2,74-79, , 
11:55.0,Violation by Team (delay of game), ,74-79, , 
11:45.0, , ,74-79, ,M. Ginóbili misses 3-pt jump shot from 25 ft
11:44.0, , ,74-79, ,Offensive rebound by D. West
11:36.0, , ,74-81,+2,M. Ginóbili makes 2-pt layup at rim
11:19.0,K. Porziņģis misses 3-pt jump shot from 25 ft, ,74-81, , 
11:17.0, , ,74-81, ,Defensive rebound by D. Green
11:03.0, , ,74-84,+3,D. Green makes 3-pt jump shot from 23 ft (assist by P. Mills)
10:37.0,L. Galloway misses 2-pt jump shot from 5 ft, ,74-84, , 
10:37.0,Offensive rebound by Team, ,74-84, , 
10:37.0, , ,74-84, ,Loose ball foul by D. West (drawn by K. Porziņģis)
10:37.0,A. Afflalo enters the game for L. Thomas, ,74-84, , 
10:30.0,J. Grant misses 2-pt jump shot from 3 ft, ,74-84, , 
10:29.0, , ,74-84, ,Defensive rebound by B. Diaw
10:22.0, , ,74-84, ,D. Green misses 3-pt jump shot from 24 ft
10:21.0,Defensive rebound by K. Porziņģis, ,74-84, , 
10:10.0,Turnover by K. Porziņģis (bad pass), ,74-84, , 
9:59.0, , ,74-86,+2,B. Diaw makes 2-pt layup at rim (assist by M. Ginóbili)
9:59.0,New York full timeout, ,74-86, , 
9:42.0,D. Williams misses 3-pt jump shot from 25 ft, ,74-86, , 
9:41.0, , ,74-86, ,Defensive rebound by M. Ginóbili
9:27.0, , ,74-86, ,Turnover by D. Green (step out of bounds)
9:02.0,K. Porziņģis misses 2-pt jump shot from 3 ft, ,74-86, , 
9:02.0,Offensive rebound by Team, ,74-86, , 
9:02.0,Turnover by Team (shot clock), ,74-86, , 
8:47.0, , ,74-86, ,D. Green misses 2-pt jump shot from 19 ft
8:45.0, , ,74-86, ,Offensive rebound by D. West
8:39.0, , ,74-86, ,B. Diaw misses 2-pt jump shot from 6 ft
8:37.0, , ,74-86, ,Offensive rebound by M. Ginóbili
8:28.0, , ,74-86, ,D. West misses 2-pt jump shot from 16 ft
8:27.0,Defensive rebound by D. Williams, ,74-86, , 
8:14.0,J. Grant makes 2-pt layup from 3 ft,+2,76-86, , 
8:03.0, , ,76-86, ,Personal foul by L. Galloway (drawn by M. Ginóbili)
8:03.0, , ,76-86, ,K. Leonard enters the game for M. Ginóbili
8:03.0, , ,76-86, ,T. Parker enters the game for P. Mills
8:03.0,C. Anthony enters the game for D. Williams, ,76-86, , 
7:56.0, , ,76-86, ,K. Leonard misses 2-pt jump shot from 5 ft
7:55.0,Defensive rebound by C. Anthony, ,76-86, , 
7:55.0,Personal foul by D. West (drawn by C. Anthony), ,76-86, , 
7:30.0,L. Galloway misses 3-pt jump shot from 24 ft, ,76-86, , 
7:29.0, , ,76-86, ,Defensive rebound by D. Green
7:19.0, , ,76-86, ,B. Diaw misses 2-pt layup from 2 ft
7:18.0,Defensive rebound by L. Galloway, ,76-86, , 
7:13.0,L. Galloway makes 2-pt layup from 2 ft,+2,78-86, , 
7:13.0, , ,78-86, ,San Antonio full timeout
7:13.0,J. Calderón enters the game for J. Grant, ,78-86, , 
6:56.0, , ,78-86, ,Shooting foul by A. Afflalo (drawn by K. Leonard)
6:56.0, , ,78-87,+1,K. Leonard makes free throw 1 of 2
6:56.0, , ,78-87, ,J. Simmons enters the game for B. Diaw
6:56.0, , ,78-88,+1,K. Leonard makes free throw 2 of 2
6:45.0,Personal foul by D. Green (drawn by A. Afflalo), ,78-88, , 
6:45.0, , ,78-88, ,L. Aldridge enters the game for D. West
6:38.0,A. Afflalo misses 3-pt jump shot from 23 ft, ,78-88, , 
6:37.0, , ,78-88, ,Defensive rebound by J. Simmons
6:21.0, , ,78-90,+2,L. Aldridge makes 2-pt hook shot from 6 ft (assist by D. Green)
