time,away_description,away_change,score,home_change,home_description
2:09.0,A. Wiggins misses 2-pt layup from 1 ft, ,14-25, , 
2:06.0,Offensive rebound by K. Towns, ,14-25, , 
2:06.0,K. Towns makes 2-pt layup from 1 ft,+2,16-25, , 
1:50.0, , ,16-25, ,J. Embiid misses 2-pt hook shot from 4 ft
1:48.0,Defensive rebound by N. Bjelica, ,16-25, , 
1:38.0,K. Towns misses 3-pt jump shot from 28 ft, ,16-25, , 
1:36.0, , ,16-25, ,Defensive rebound by N. Stauskas
1:23.0, , ,16-25, ,N. Stauskas misses 2-pt layup from 2 ft
1:22.0,Defensive rebound by A. Wiggins, ,16-25, , 
1:18.0, , ,16-25, ,Offensive charge foul by S. Muhammad (drawn by E. İlyasova)
1:18.0,Turnover by S. Muhammad (offensive foul), ,16-25, , 
1:02.0, , ,16-25, ,J. Embiid misses 2-pt layup from 1 ft
1:00.0, , ,16-25, ,Offensive rebound by J. Embiid
1:00.0, , ,16-27,+2,J. Embiid makes 2-pt layup at rim
0:50.0,A. Wiggins misses 3-pt jump shot from 24 ft, ,16-27, , 
0:48.0, , ,16-27, ,Defensive rebound by D. Šarić
0:40.0, , ,16-29,+2,D. Šarić makes 2-pt layup from 1 ft
0:24.0,N. Bjelica misses 3-pt jump shot from 26 ft, ,16-29, , 
0:23.0, , ,16-29, ,Defensive rebound by D. Šarić
0:17.0, , ,16-29, ,Personal foul by K. Dunn (drawn by J. Embiid)
0:03.0, , ,16-29, ,N. Stauskas misses 2-pt layup from 2 ft
0:02.0,Defensive rebound by K. Towns, ,16-29, , 
0:00.0,K. Towns misses 3-pt jump shot from 68 ft, ,16-29, , 
0:00.0,Offensive rebound by Team, ,16-29, , 
11:49.0,Personal foul by H. Thompson (drawn by N. Bjelica), ,16-29, , 
11:42.0,Z. LaVine makes 2-pt jump shot from 17 ft (assist by C. Aldrich),+2,18-29, , 
11:30.0, , ,18-29, ,Personal block foul by C. Aldrich (drawn by J. Embiid)
11:18.0, , ,18-31,+2,J. Embiid makes 2-pt layup at rim (assist by H. Thompson)
11:00.0,S. Muhammad misses 2-pt jump shot from 7 ft, ,18-31, , 
10:59.0, , ,18-31, ,Defensive rebound by N. Stauskas
10:42.0, , ,18-31, ,D. Šarić misses 3-pt jump shot from 26 ft
10:41.0,Defensive rebound by C. Aldrich, ,18-31, , 
10:32.0,S. Muhammad makes 2-pt jump shot from 12 ft,+2,20-31, , 
10:19.0, , ,20-34,+3,J. Embiid makes 3-pt jump shot from 26 ft (assist by N. Stauskas)
9:57.0,Turnover by Z. LaVine (bad pass; steal by D. Šarić), ,20-34, , 
9:50.0, , ,20-34, ,H. Thompson misses 2-pt jump shot from 5 ft
9:50.0, , ,20-34, ,Offensive rebound by Team
9:50.0,Loose ball foul by N. Bjelica (drawn by N. Noel), ,20-34, , 
9:50.0, , ,20-34, ,T. McConnell enters the game for N. Stauskas
9:50.0, , ,20-34, ,R. Covington enters the game for D. Šarić
9:33.0, , ,20-34, ,R. Covington misses 2-pt layup from 2 ft (block by C. Aldrich)
9:31.0,Defensive rebound by C. Aldrich, ,20-34, , 
9:23.0,S. Muhammad misses 2-pt layup from 1 ft (block by J. Embiid), ,20-34, , 
9:21.0, , ,20-34, ,Defensive rebound by H. Thompson
9:09.0, , ,20-34, ,Shooting foul by K. Dunn (drawn by J. Embiid)
9:09.0, , ,20-35,+1,J. Embiid makes free throw 1 of 2
9:09.0, , ,20-36,+1,J. Embiid makes free throw 2 of 2
8:53.0,Z. LaVine makes 2-pt layup from 2 ft,+2,22-36, , 
8:45.0, , ,22-36, ,Personal foul by C. Aldrich (drawn by J. Embiid)
8:45.0,Official timeout, ,22-36, , 
8:45.0, , ,22-36, ,E. İlyasova enters the game for N. Noel
8:45.0, , ,22-36, ,J. Okafor enters the game for J. Embiid
8:36.0, , ,22-36, ,J. Okafor misses 2-pt jump shot from 14 ft
8:35.0,Defensive rebound by S. Muhammad, ,22-36, , 
8:16.0,Personal foul by R. Covington (drawn by Z. LaVine), ,22-36, , 
8:15.0,Turnover by Z. LaVine (bad pass; steal by R. Covington), ,22-36, , 
7:53.0, , ,22-36, ,T. McConnell misses 3-pt jump shot from 25 ft
7:52.0,Defensive rebound by S. Muhammad, ,22-36, , 
7:38.0,Shooting foul by H. Thompson (drawn by S. Muhammad), ,22-36, , 
7:38.0,S. Muhammad makes free throw 1 of 2,+1,23-36, , 
7:38.0,S. Muhammad misses free throw 2 of 2, ,23-36, , 
7:38.0, , ,23-36, ,T. Luwawu-Cabarrot enters the game for H. Thompson
7:37.0, , ,23-36, ,Defensive rebound by R. Covington
7:23.0, , ,23-36, ,Shooting foul by N. Bjelica (drawn by E. İlyasova)
7:23.0, , ,23-37,+1,E. İlyasova makes free throw 1 of 2
7:23.0, , ,23-38,+1,E. İlyasova makes free throw 2 of 2
7:13.0,N. Bjelica makes 2-pt layup from 1 ft,+2,25-38, , 
6:59.0, , ,25-38, ,T. Luwawu-Cabarrot misses 3-pt jump shot from 25 ft
6:56.0, , ,25-38, ,Offensive rebound by J. Okafor
6:56.0, , ,25-40,+2,J. Okafor makes 2-pt layup from 1 ft
6:42.0,Shooting foul by J. Okafor (drawn by Z. LaVine), ,25-40, , 
6:42.0,Z. LaVine makes free throw 1 of 2,+1,26-40, , 
6:42.0,G. Dieng enters the game for C. Aldrich, ,26-40, , 
6:42.0,K. Towns enters the game for N. Bjelica, ,26-40, , 
6:42.0,Z. LaVine makes free throw 2 of 2,+1,27-40, , 
6:31.0, , ,27-40, ,Shooting foul by Z. LaVine (drawn by T. Luwawu-Cabarrot)
6:31.0, , ,27-41,+1,T. Luwawu-Cabarrot makes free throw 1 of 2
6:31.0,A. Wiggins enters the game for S. Muhammad, ,27-41, , 
6:31.0, , ,27-42,+1,T. Luwawu-Cabarrot makes free throw 2 of 2
6:25.0,K. Dunn misses 2-pt layup from 1 ft (block by T. Luwawu-Cabarrot), ,27-42, , 
6:23.0, , ,27-42, ,Defensive rebound by J. Okafor
6:17.0, , ,27-42, ,E. İlyasova misses 3-pt jump shot from 23 ft (block by Z. LaVine)
6:10.0,Defensive rebound by K. Dunn, ,27-42, , 
6:07.0,Def 3 sec tech foul by J. Okafor, ,27-42, , 
6:07.0,Z. LaVine makes technical free throw,+1,28-42, , 
6:07.0,R. Rubio enters the game for K. Dunn, ,28-42, , 
5:53.0,Z. LaVine misses 2-pt jump shot from 15 ft, ,28-42, , 
5:52.0, , ,28-42, ,Defensive rebound by T. McConnell
5:46.0, , ,28-42, ,R. Covington misses 3-pt jump shot from 26 ft
5:45.0,Defensive rebound by R. Rubio, ,28-42, , 
5:30.0,A. Wiggins misses 2-pt jump shot from 17 ft, ,28-42, , 
5:28.0, , ,28-42, ,Defensive rebound by E. İlyasova
5:22.0, , ,28-42, ,Philadelphia full timeout
5:22.0, , ,28-42, ,N. Stauskas enters the game for T. Luwawu-Cabarrot
5:22.0, , ,28-42, ,D. Šarić enters the game for E. İlyasova
5:16.0, , ,28-42, ,T. McConnell misses 2-pt layup from 1 ft
5:15.0,Defensive rebound by G. Dieng, ,28-42, , 
4:58.0,Turnover by A. Wiggins (lost ball; steal by R. Covington), ,28-42, , 
4:49.0, , ,28-42, ,R. Covington misses 2-pt layup from 2 ft
4:46.0, , ,28-42, ,Offensive rebound by J. Okafor
4:46.0, , ,28-42, ,J. Okafor misses 2-pt layup from 1 ft (block by G. Dieng)
4:43.0,Defensive rebound by G. Dieng, ,28-42, , 
4:41.0,Z. LaVine misses 3-pt jump shot from 26 ft, ,28-42, , 
4:39.0, , ,28-42, ,Defensive rebound by J. Okafor
4:33.0, , ,28-44,+2,D. Šarić makes 2-pt jump shot from 18 ft (assist by T. McConnell)
4:17.0,K. Towns misses 3-pt jump shot from 26 ft, ,28-44, , 
4:16.0, , ,28-44, ,Defensive rebound by R. Covington
4:01.0, , ,28-46,+2,T. McConnell makes 2-pt layup from 2 ft
3:46.0,Z. LaVine makes 2-pt jump shot from 19 ft (assist by K. Towns),+2,30-46, , 
3:23.0, , ,30-46, ,Offensive foul by D. Šarić (drawn by A. Wiggins)
3:23.0, , ,30-46, ,Turnover by D. Šarić (offensive foul)
3:23.0, , ,30-46, ,J. Embiid enters the game for J. Okafor
3:23.0,Violation by Team (jump ball), ,30-46, , 
3:11.0,Personal block foul by J. Embiid (drawn by K. Towns), ,30-46, , 
3:11.0,K. Towns makes free throw 1 of 2,+1,31-46, , 
3:11.0,K. Towns makes free throw 2 of 2,+1,32-46, , 
2:58.0, , ,32-46, ,Shooting foul by G. Dieng (drawn by J. Embiid)
2:58.0,Minnesota full timeout, ,32-46, , 
2:58.0, , ,32-46, ,J. Embiid misses free throw 1 of 2
2:58.0, , ,32-46, ,Offensive rebound by Team
2:58.0, , ,32-46, ,E. İlyasova enters the game for D. Šarić
2:58.0, , ,32-47,+1,J. Embiid makes free throw 2 of 2
2:46.0,G. Dieng makes 2-pt jump shot from 18 ft (assist by K. Towns),+2,34-47, , 
2:20.0, , ,34-49,+2,E. İlyasova makes 2-pt jump shot from 9 ft (assist by J. Embiid)
2:08.0,A. Wiggins misses 2-pt jump shot from 18 ft, ,34-49, , 
2:06.0,Offensive rebound by G. Dieng, ,34-49, , 
2:00.0,Turnover by Z. LaVine (bad pass), ,34-49, , 
1:46.0, , ,34-49, ,Shooting foul by Z. LaVine (drawn by J. Embiid)
1:46.0, , ,34-50,+1,J. Embiid makes free throw 1 of 2
1:46.0, , ,34-51,+1,J. Embiid makes free throw 2 of 2
1:40.0,A. Wiggins makes 2-pt dunk at rim (assist by R. Rubio),+2,36-51, , 
1:21.0, , ,36-53,+2,J. Embiid makes 2-pt hook shot from 5 ft
1:08.0,A. Wiggins misses 2-pt jump shot from 16 ft, ,36-53, , 
1:06.0, , ,36-53, ,Defensive rebound by T. McConnell
1:02.0, , ,36-53, ,T. McConnell misses 2-pt layup from 2 ft
1:01.0, , ,36-53, ,Offensive rebound by R. Covington
1:00.0, , ,36-55,+2,R. Covington makes 2-pt layup from 1 ft
0:46.0,Personal foul by N. Stauskas (drawn by G. Dieng), ,36-55, , 
0:46.0,G. Dieng makes free throw 1 of 2,+1,37-55, , 
0:46.0,G. Dieng makes free throw 2 of 2,+1,38-55, , 
0:35.0, , ,38-57,+2,E. İlyasova makes 2-pt jump shot from 21 ft (assist by T. McConnell)
0:29.0,R. Rubio makes 2-pt jump shot from 15 ft,+2,40-57, , 
0:05.0, , ,40-57, ,Turnover by J. Embiid (lost ball; steal by A. Wiggins)
0:02.0,Z. LaVine makes 2-pt dunk at rim (assist by A. Wiggins),+2,42-57, , 
0:01.0, , ,42-57, ,T. McConnell misses 3-pt jump shot from 51 ft
0:00.0, , ,42-57, ,Offensive rebound by Team
11:33.0,A. Wiggins misses 2-pt jump shot from 11 ft, ,42-57, , 
11:32.0, , ,42-57, ,Defensive rebound by R. Covington
11:23.0, , ,42-59,+2,J. Embiid makes 2-pt jump shot from 11 ft
11:18.0,Turnover by Team (5 sec inbounds), ,42-59, , 
11:02.0, , ,42-61,+2,J. Embiid makes 2-pt layup from 1 ft
10:49.0,A. Wiggins misses 2-pt jump shot from 20 ft, ,42-61, , 
10:48.0, , ,42-61, ,Defensive rebound by R. Covington
10:40.0, , ,42-64,+3,E. İlyasova makes 3-pt jump shot from 23 ft (assist by N. Stauskas)
10:40.0,Minnesota full timeout, ,42-64, , 
10:36.0,Turnover by G. Dieng (bad pass), ,42-64, , 
10:21.0, , ,42-64, ,R. Covington misses 3-pt jump shot from 25 ft
10:20.0,Defensive rebound by A. Wiggins, ,42-64, , 
10:05.0,Z. LaVine misses 3-pt jump shot from 24 ft, ,42-64, , 
10:04.0, , ,42-64, ,Defensive rebound by Team
9:55.0, , ,42-64, ,Shooting foul by G. Dieng (drawn by J. Embiid)
9:55.0, , ,42-65,+1,J. Embiid makes free throw 1 of 2
9:55.0, , ,42-65, ,J. Embiid misses free throw 2 of 2
9:54.0, , ,42-65, ,Offensive rebound by J. Embiid
9:49.0, , ,42-68,+3,E. İlyasova makes 3-pt jump shot from 25 ft (assist by J. Embiid)
9:29.0,G. Dieng misses 2-pt jump shot from 19 ft, ,42-68, , 
9:28.0, , ,42-68, ,Defensive rebound by N. Stauskas
9:22.0, , ,42-68, ,J. Embiid misses 3-pt jump shot from 25 ft
9:21.0,Defensive rebound by A. Wiggins, ,42-68, , 
9:08.0,K. Towns makes 2-pt dunk at rim,+2,44-68, , 
8:58.0, , ,44-68, ,J. Embiid misses 2-pt jump shot from 16 ft
8:57.0,Defensive rebound by K. Towns, ,44-68, , 
8:48.0,Z. LaVine misses 3-pt jump shot from 25 ft, ,44-68, , 
8:47.0, , ,44-68, ,Defensive rebound by R. Covington
8:34.0, , ,44-70,+2,E. İlyasova makes 2-pt jump shot from 19 ft (assist by T. McConnell)
8:20.0,K. Towns makes 3-pt jump shot from 25 ft (assist by G. Dieng),+3,47-70, , 
8:04.0, , ,47-70, ,T. McConnell misses 2-pt layup from 3 ft
8:03.0,Defensive rebound by K. Towns, ,47-70, , 
7:59.0,Z. LaVine makes 2-pt dunk at rim (assist by R. Rubio),+2,49-70, , 
7:59.0, , ,49-70, ,Philadelphia full timeout
7:59.0, , ,49-70, ,T. Luwawu-Cabarrot enters the game for N. Stauskas
7:59.0, , ,49-70, ,J. Okafor enters the game for J. Embiid
7:53.0, , ,49-70, ,Personal foul by R. Rubio (drawn by T. McConnell)
7:43.0, , ,49-70, ,E. İlyasova misses 3-pt jump shot from 26 ft
7:42.0,Defensive rebound by R. Rubio, ,49-70, , 
7:38.0,Turnover by R. Rubio (bad pass), ,49-70, , 
7:25.0, , ,49-70, ,Turnover by J. Okafor (step out of bounds)
7:11.0,Z. LaVine makes 3-pt jump shot from 24 ft (assist by R. Rubio),+3,52-70, , 
6:54.0, , ,52-70, ,Shooting foul by G. Dieng (drawn by J. Okafor)
6:54.0, , ,52-70, ,J. Okafor misses free throw 1 of 2
6:54.0, , ,52-70, ,Offensive rebound by Team
6:54.0, , ,52-70, ,J. Okafor misses free throw 2 of 2
6:52.0, , ,52-70, ,Offensive rebound by E. İlyasova
6:50.0, , ,52-70, ,E. İlyasova misses 2-pt layup from 2 ft
6:49.0,Defensive rebound by G. Dieng, ,52-70, , 
6:38.0,K. Towns misses 2-pt layup from 2 ft (block by J. Okafor), ,52-70, , 
6:37.0,Offensive rebound by Team, ,52-70, , 
6:29.0,Z. LaVine makes 2-pt jump shot from 7 ft (assist by G. Dieng),+2,54-70, , 
6:16.0, , ,54-70, ,Turnover by T. Luwawu-Cabarrot (bad pass; steal by G. Dieng)
6:16.0, , ,54-70, ,D. Šarić enters the game for E. İlyasova
6:01.0,K. Towns misses 2-pt jump shot from 9 ft, ,54-70, , 
6:00.0,Offensive rebound by K. Towns, ,54-70, , 
5:58.0,K. Towns makes 2-pt layup from 3 ft,+2,56-70, , 
5:42.0, , ,56-70, ,R. Covington misses 3-pt jump shot from 25 ft
5:41.0, , ,56-70, ,Offensive rebound by Team
5:28.0, , ,56-70, ,R. Covington misses 3-pt jump shot from 26 ft
5:27.0,Defensive rebound by K. Towns, ,56-70, , 
5:14.0,Personal foul by J. Okafor (drawn by R. Rubio), ,56-70, , 
5:06.0,Personal foul by T. Luwawu-Cabarrot (drawn by Z. LaVine), ,56-70, , 
4:58.0,Z. LaVine makes 3-pt jump shot from 24 ft (assist by K. Towns),+3,59-70, , 
4:42.0, , ,59-70, ,Personal foul by A. Wiggins (drawn by R. Covington)
4:32.0, , ,59-70, ,D. Šarić misses 3-pt jump shot from 26 ft
4:31.0,Defensive rebound by Z. LaVine, ,59-70, , 
4:22.0,Z. LaVine misses 2-pt layup from 2 ft (block by J. Okafor), ,59-70, , 
4:21.0, , ,59-70, ,Defensive rebound by T. Luwawu-Cabarrot
4:11.0, , ,59-73,+3,R. Covington makes 3-pt jump shot from 25 ft (assist by T. McConnell)
3:56.0,K. Towns makes 2-pt dunk at rim (assist by R. Rubio),+2,61-73, , 
3:36.0, , ,61-73, ,Turnover by T. McConnell (bad pass; steal by Z. LaVine)
3:32.0,Z. LaVine makes 2-pt dunk at rim,+2,63-73, , 
3:11.0, , ,63-73, ,Turnover by D. Šarić (bad pass)
3:11.0, , ,63-73, ,J. Embiid enters the game for J. Okafor
3:11.0, , ,63-73, ,N. Stauskas enters the game for T. McConnell
3:11.0,S. Muhammad enters the game for Z. LaVine, ,63-73, , 
3:00.0,Personal foul by J. Embiid (drawn by A. Wiggins), ,63-73, , 
2:56.0,K. Towns misses 3-pt jump shot from 26 ft, ,63-73, , 
2:55.0, , ,63-73, ,Defensive rebound by Team
2:45.0, , ,63-73, ,R. Covington misses 3-pt jump shot from 25 ft
2:44.0,Defensive rebound by S. Muhammad, ,63-73, , 
2:28.0,A. Wiggins misses 2-pt jump shot from 7 ft, ,63-73, , 
2:27.0,Offensive rebound by K. Towns, ,63-73, , 
2:26.0,Turnover by K. Towns (lost ball; steal by R. Covington), ,63-73, , 
2:26.0, , ,63-73, ,Personal foul by K. Towns (drawn by R. Covington)
2:26.0,Technical foul by K. Towns, ,63-73, , 
2:26.0, , ,63-74,+1,J. Embiid makes technical free throw
2:26.0, , ,63-75,+1,R. Covington makes free throw 1 of 2
2:26.0,N. Bjelica enters the game for K. Towns, ,63-73, , 
2:26.0, , ,63-76,+1,R. Covington makes free throw 2 of 2
2:16.0,A. Wiggins makes 2-pt jump shot from 13 ft,+2,65-76, , 
2:01.0, , ,65-76, ,J. Embiid misses 2-pt jump shot from 10 ft
2:00.0,Defensive rebound by G. Dieng, ,65-76, , 
1:48.0,N. Bjelica misses 3-pt jump shot from 25 ft, ,65-76, , 
1:47.0,Offensive rebound by S. Muhammad, ,65-76, , 
1:44.0,S. Muhammad misses 2-pt jump shot from 18 ft, ,65-76, , 
1:43.0, , ,65-76, ,Defensive rebound by J. Embiid
1:34.0, , ,65-76, ,N. Stauskas misses 2-pt layup from 1 ft (block by G. Dieng)
1:32.0,Defensive rebound by G. Dieng, ,65-76, , 
1:25.0,A. Wiggins misses 3-pt jump shot from 25 ft, ,65-76, , 
1:24.0, , ,65-76, ,Defensive rebound by R. Covington
1:02.0,Offensive charge foul by R. Covington (drawn by G. Dieng), ,65-76, , 
1:02.0, , ,65-76, ,Turnover by R. Covington (offensive foul)
1:02.0,K. Dunn enters the game for R. Rubio, ,65-76, , 
1:02.0, , ,65-76, ,E. İlyasova enters the game for R. Covington
0:41.0,Turnover by A. Wiggins (lost ball; steal by J. Embiid), ,65-76, , 
0:33.0, , ,65-79,+3,N. Stauskas makes 3-pt jump shot from 25 ft (assist by J. Embiid)
0:15.0,Personal block foul by E. İlyasova (drawn by N. Bjelica), ,65-79, , 
0:05.0,N. Bjelica makes 3-pt jump shot from 25 ft (assist by A. Wiggins),+3,68-79, , 
0:00.0, , ,68-79, ,N. Stauskas misses 3-pt jump shot from 28 ft
0:00.0, , ,68-79, ,Offensive rebound by Team
11:49.0, , ,68-79, ,Turnover by N. Stauskas (bad pass)
11:32.0,C. Aldrich misses 2-pt hook shot from 6 ft, ,68-79, , 
11:31.0, , ,68-79, ,Defensive rebound by T. Luwawu-Cabarrot
11:07.0, , ,68-82,+3,E. İlyasova makes 3-pt jump shot from 24 ft (assist by T. Luwawu-Cabarrot)
10:51.0,K. Dunn misses 2-pt jump shot from 17 ft, ,68-82, , 
10:50.0, , ,68-82, ,Defensive rebound by D. Šarić
10:34.0, , ,68-82, ,J. Embiid misses 3-pt jump shot from 25 ft
10:33.0,Defensive rebound by Z. LaVine, ,68-82, , 
10:22.0,C. Aldrich misses 2-pt layup from 1 ft, ,68-82, , 
10:21.0, , ,68-82, ,Defensive rebound by J. Embiid
10:05.0, , ,68-82, ,J. Embiid misses 2-pt jump shot from 10 ft
10:04.0,Defensive rebound by N. Bjelica, ,68-82, , 
9:49.0,S. Muhammad makes 2-pt jump shot from 4 ft,+2,70-82, , 
9:16.0, , ,70-82, ,N. Stauskas misses 3-pt jump shot from 25 ft
9:15.0, , ,70-82, ,Offensive rebound by J. Embiid
9:11.0, , ,70-82, ,Philadelphia full timeout
9:11.0,K. Towns enters the game for C. Aldrich, ,70-82, , 
9:11.0, , ,70-82, ,N. Noel enters the game for J. Embiid
9:11.0, , ,70-82, ,T. McConnell enters the game for N. Stauskas
9:11.0, , ,70-82, ,R. Covington enters the game for D. Šarić
9:04.0, , ,70-82, ,Turnover by T. Luwawu-Cabarrot (bad pass; steal by S. Muhammad)
8:47.0,S. Muhammad makes 3-pt jump shot from 23 ft (assist by K. Dunn),+3,73-82, , 
8:22.0, , ,73-82, ,E. İlyasova misses 2-pt jump shot from 13 ft
8:21.0,Defensive rebound by S. Muhammad, ,73-82, , 
8:13.0, , ,73-82, ,Violation by R. Covington (kicked ball)
8:13.0, , ,73-82, ,D. Šarić enters the game for T. Luwawu-Cabarrot
8:03.0,N. Bjelica misses 2-pt jump shot from 21 ft, ,73-82, , 
8:02.0, , ,73-82, ,Defensive rebound by D. Šarić
7:57.0, , ,73-82, ,Turnover by D. Šarić (palming)
7:48.0,Offensive foul by K. Dunn (drawn by T. McConnell), ,73-82, , 
