time,away_description,away_change,score,home_change,home_description
6:29.0, , ,93-82,+1,D. Šarić makes free throw 1 of 2
6:29.0,S. Hill enters the game for Ö. Aşık, ,93-82, , 
6:29.0, , ,93-82, ,R. Covington enters the game for G. Henderson
6:29.0, , ,93-83,+1,D. Šarić makes free throw 2 of 2
6:15.0,Shooting foul by J. Okafor (drawn by A. Davis), ,93-83, , 
6:15.0,A. Davis makes free throw 1 of 2,+1,94-83, , 
6:15.0,J. Holiday enters the game for E. Moore, ,94-83, , 
6:15.0,A. Davis makes free throw 2 of 2,+1,95-83, , 
5:57.0, , ,95-85,+2,J. Okafor makes 2-pt layup from 2 ft
5:43.0,J. Holiday misses 2-pt jump shot from 12 ft (block by J. Okafor), ,95-85, , 
5:41.0,Offensive rebound by J. Holiday, ,95-85, , 
5:35.0,A. Davis misses 2-pt hook shot from 8 ft, ,95-85, , 
5:33.0, , ,95-85, ,Defensive rebound by N. Stauskas
5:27.0, , ,95-88,+3,N. Stauskas makes 3-pt jump shot from 28 ft (assist by D. Šarić)
5:10.0,A. Davis misses 2-pt jump shot from 15 ft, ,95-88, , 
5:08.0, , ,95-88, ,Defensive rebound by N. Stauskas
4:55.0, , ,95-88, ,J. Okafor misses 2-pt hook shot from 12 ft
4:53.0,Defensive rebound by A. Davis, ,95-88, , 
4:42.0,J. Holiday misses 2-pt layup from 3 ft, ,95-88, , 
4:40.0, , ,95-88, ,Defensive rebound by R. Covington
4:30.0, , ,95-88, ,R. Covington misses 3-pt jump shot from 26 ft
4:29.0,Defensive rebound by T. Frazier, ,95-88, , 
4:19.0,A. Davis misses 3-pt jump shot from 27 ft, ,95-88, , 
4:17.0, , ,95-88, ,Defensive rebound by R. Covington
4:13.0, , ,95-88, ,Philadelphia full timeout
4:13.0,T. Jones enters the game for D. Cunningham, ,95-88, , 
4:13.0, , ,95-88, ,J. Embiid enters the game for J. Okafor
4:13.0, , ,95-88, ,E. İlyasova enters the game for D. Šarić
3:54.0, , ,95-88, ,S. Rodríguez misses 3-pt jump shot from 25 ft
3:52.0,Defensive rebound by A. Davis, ,95-88, , 
3:34.0,T. Jones misses 2-pt hook shot from 4 ft, ,95-88, , 
3:25.0,Offensive rebound by A. Davis, ,95-88, , 
3:25.0,A. Davis makes 2-pt layup from 3 ft,+2,97-88, , 
3:18.0, , ,97-88, ,J. Embiid misses 2-pt layup from 2 ft (block by A. Davis)
3:15.0,Defensive rebound by J. Holiday, ,97-88, , 
3:07.0,A. Davis misses 2-pt jump shot from 5 ft, ,97-88, , 
3:06.0,Offensive rebound by A. Davis, ,97-88, , 
3:06.0,Shooting foul by R. Covington (drawn by A. Davis), ,97-88, , 
3:06.0,A. Davis misses free throw 1 of 2, ,97-88, , 
3:06.0,Offensive rebound by Team, ,97-88, , 
3:06.0,A. Davis misses free throw 2 of 2, ,97-88, , 
3:04.0, , ,97-88, ,Defensive rebound by J. Embiid
2:57.0, , ,97-88, ,R. Covington misses 3-pt jump shot from 26 ft
2:55.0,Defensive rebound by A. Davis, ,97-88, , 
2:35.0,T. Jones misses 2-pt layup from 1 ft (block by J. Embiid), ,97-88, , 
2:35.0,Offensive rebound by T. Jones, ,97-88, , 
2:35.0,Shooting foul by R. Covington (drawn by T. Jones), ,97-88, , 
2:35.0,New Orleans full timeout, ,97-88, , 
2:35.0,T. Jones makes free throw 1 of 2,+1,98-88, , 
2:35.0, , ,97-88, ,G. Henderson enters the game for N. Stauskas
2:35.0, , ,97-88, ,T. McConnell enters the game for S. Rodríguez
2:35.0,T. Jones misses free throw 2 of 2, ,98-88, , 
2:28.0, , ,98-88, ,Defensive rebound by J. Embiid
2:25.0, , ,98-88, ,T. McConnell misses 2-pt jump shot from 19 ft
2:22.0,Defensive rebound by A. Davis, ,98-88, , 
2:06.0,A. Davis makes 2-pt hook shot from 6 ft (assist by J. Holiday),+2,100-88, , 
1:47.0, , ,100-88, ,J. Embiid misses 2-pt jump shot from 7 ft
1:44.0,Defensive rebound by A. Davis, ,100-88, , 
1:34.0,Personal foul by R. Covington (drawn by A. Davis), ,100-88, , 
1:34.0,A. Davis makes free throw 1 of 2,+1,101-88, , 
1:34.0,A. Davis misses free throw 2 of 2, ,101-88, , 
1:33.0,Offensive rebound by Team, ,101-88, , 
1:25.0,New Orleans full timeout, ,101-88, , 
1:22.0,J. Holiday makes 2-pt dunk at rim,+2,103-88, , 
1:22.0, , ,103-88, ,Philadelphia full timeout
1:22.0, , ,103-88, ,S. Rodríguez enters the game for T. McConnell
1:22.0,D. Cunningham enters the game for T. Jones, ,103-88, , 
1:17.0, , ,103-88, ,Philadelphia full timeout
1:15.0, , ,103-88, ,R. Covington misses 2-pt layup from 3 ft (block by A. Davis)
1:13.0,Defensive rebound by S. Hill, ,103-88, , 
0:52.0,A. Davis makes 2-pt jump shot from 16 ft,+2,105-88, , 
0:43.0, , ,105-91,+3,G. Henderson makes 3-pt jump shot from 25 ft (assist by J. Embiid)
0:21.0,D. Cunningham makes 3-pt jump shot from 24 ft (assist by T. Frazier),+3,108-91, , 
0:10.0, , ,108-91, ,S. Rodríguez misses 2-pt layup from 2 ft
0:09.0, , ,108-91, ,Offensive rebound by E. İlyasova
0:08.0, , ,108-93,+2,E. İlyasova makes 2-pt jump shot from 4 ft
