time,away_description,away_change,score,home_change,home_description
3:48.0, , ,12-21,+1,E. İlyasova makes free throw 1 of 2
3:48.0, , ,12-21, ,I. Taylor enters the game for D. Schröder
3:48.0,M. Richardson enters the game for B. Bogdanović, ,12-21, , 
3:48.0, , ,12-21, ,E. İlyasova misses free throw 2 of 2
3:44.0,Defensive rebound by W. Cauley-Stein, ,12-21, , 
3:27.0,G. Hill misses 2-pt jump shot from 10 ft, ,12-21, , 
3:23.0, , ,12-21, ,Defensive rebound by E. İlyasova
3:12.0, , ,12-21, ,Offensive foul by M. Delaney (drawn by G. Hill)
3:12.0, , ,12-21, ,Turnover by M. Delaney (offensive foul)
3:12.0,K. Koufos enters the game for W. Cauley-Stein, ,12-21, , 
2:59.0, , ,12-21, ,Violation by I. Taylor (kicked ball)
2:59.0, , ,12-21, ,Atlanta full timeout
2:46.0,Shooting foul by J. Collins (drawn by M. Richardson), ,12-21, , 
2:46.0,M. Richardson misses free throw 1 of 2, ,12-21, , 
2:46.0,Offensive rebound by Team, ,12-21, , 
2:46.0,B. Hield enters the game for G. Hill, ,12-21, , 
2:46.0,D. Fox enters the game for G. Temple, ,12-21, , 
2:46.0,M. Richardson makes free throw 2 of 2,+1,13-21, , 
2:33.0, , ,13-21, ,I. Taylor misses 3-pt jump shot from 25 ft
2:30.0,Defensive rebound by M. Richardson, ,13-21, , 
2:22.0,M. Richardson misses 3-pt jump shot from 25 ft, ,13-21, , 
2:18.0, , ,13-21, ,Defensive rebound by J. Collins
2:09.0, , ,13-21, ,M. Delaney misses 2-pt layup from 2 ft (block by B. Hield)
2:05.0,Defensive rebound by K. Koufos, ,13-21, , 
2:03.0,B. Hield misses 2-pt jump shot from 16 ft, ,13-21, , 
2:03.0, , ,13-21, ,Defensive rebound by M. Belinelli
1:42.0, , ,13-21, ,E. İlyasova misses 2-pt jump shot from 6 ft
1:42.0, , ,13-21, ,Offensive rebound by Team
1:41.0, , ,13-21, ,T. Cavanaugh enters the game for E. İlyasova
1:39.0, , ,13-21, ,Turnover by Team (shot clock)
1:39.0, , ,13-21, ,L. Babbitt enters the game for J. Collins
1:27.0,D. Fox misses 2-pt jump shot from 19 ft, ,13-21, , 
1:25.0, , ,13-21, ,Defensive rebound by M. Belinelli
1:25.0, , ,13-21, ,Personal foul by B. Hield (drawn by M. Belinelli)
1:08.0, , ,13-24,+3,M. Delaney makes 3-pt jump shot from 26 ft (assist by I. Taylor)
0:54.0,J. Jackson misses 3-pt jump shot from 23 ft, ,13-24, , 
0:53.0,Offensive rebound by Team, ,13-24, , 
0:53.0, , ,13-24, ,Loose ball foul by T. Cavanaugh (drawn by K. Koufos)
0:53.0,K. Koufos makes free throw 1 of 2,+1,14-24, , 
0:53.0,K. Koufos misses free throw 2 of 2, ,14-24, , 
0:51.0, , ,14-24, ,Defensive rebound by T. Cavanaugh
0:35.0, , ,14-24, ,M. Belinelli misses 3-pt jump shot from 25 ft
0:34.0,Defensive rebound by Team, ,14-24, , 
0:24.0,K. Koufos makes 2-pt layup from 1 ft (assist by M. Richardson),+2,16-24, , 
0:06.0, , ,16-24, ,M. Delaney misses 3-pt jump shot from 25 ft
0:02.0, , ,16-24, ,Offensive rebound by T. Cavanaugh
0:00.0, , ,16-24, ,M. Belinelli misses 3-pt jump shot from 22 ft
0:00.0,Defensive rebound by J. Jackson, ,16-24, , 
11:39.0,J. Jackson makes 3-pt jump shot from 22 ft (assist by B. Hield),+3,19-24, , 
11:21.0, , ,19-24, ,Turnover by I. Taylor (out of bounds lost ball)
11:12.0,Turnover by J. Jackson (bad pass; steal by M. Delaney), ,19-24, , 
11:07.0, , ,19-26,+2,M. Delaney makes 2-pt dunk from 1 ft
10:50.0,M. Richardson misses 2-pt layup from 1 ft, ,19-26, , 
10:45.0,Offensive rebound by K. Koufos, ,19-26, , 
10:45.0,K. Koufos makes 2-pt layup at rim,+2,21-26, , 
10:39.0, , ,21-29,+3,M. Belinelli makes 3-pt jump shot from 27 ft (assist by I. Taylor)
10:18.0,J. Jackson misses 3-pt jump shot from 22 ft, ,21-29, , 
10:15.0, , ,21-29, ,Defensive rebound by M. Delaney
10:05.0, , ,21-32,+3,L. Babbitt makes 3-pt jump shot from 23 ft (assist by T. Cavanaugh)
9:47.0,B. Hield misses 3-pt jump shot from 24 ft, ,21-32, , 
9:45.0, , ,21-32, ,Defensive rebound by I. Taylor
9:30.0, , ,21-32, ,L. Babbitt misses 2-pt layup from 2 ft (block by J. Jackson)
9:25.0,Defensive rebound by B. Hield, ,21-32, , 
9:19.0,M. Richardson misses 2-pt layup from 1 ft (block by T. Cavanaugh), ,21-32, , 
9:15.0,Offensive rebound by M. Richardson, ,21-32, , 
9:15.0,M. Richardson misses 2-pt layup from 1 ft (block by L. Babbitt), ,21-32, , 
9:15.0, , ,21-32, ,Defensive rebound by T. Cavanaugh
9:15.0, , ,21-32, ,Personal foul by B. Hield (drawn by M. Delaney)
9:15.0, , ,21-32, ,D. Dedmon enters the game for M. Delaney
9:15.0, , ,21-32, ,K. Bazemore enters the game for T. Cavanaugh
9:01.0, , ,21-35,+3,L. Babbitt makes 3-pt jump shot from 26 ft (assist by M. Belinelli)
8:49.0,J. Jackson misses 3-pt jump shot from 25 ft, ,21-35, , 
8:47.0, , ,21-35, ,Defensive rebound by K. Bazemore
8:38.0, , ,21-35, ,Turnover by K. Bazemore (bad pass; steal by B. Hield)
8:28.0,J. Jackson misses 2-pt layup from 1 ft, ,21-35, , 
8:25.0, , ,21-35, ,Defensive rebound by L. Babbitt
8:24.0, , ,21-35, ,Shooting foul by K. Koufos (drawn by I. Taylor)
8:24.0, , ,21-36,+1,I. Taylor makes free throw 1 of 2
8:24.0, , ,21-36, ,E. İlyasova enters the game for M. Belinelli
8:24.0, , ,21-36, ,T. Prince enters the game for L. Babbitt
8:24.0, , ,21-36, ,I. Taylor misses free throw 2 of 2
8:21.0,Defensive rebound by J. Jackson, ,21-36, , 
8:10.0,Turnover by D. Fox (bad pass; steal by D. Dedmon), ,21-36, , 
8:01.0, , ,21-36, ,T. Prince misses 2-pt jump shot from 16 ft
7:57.0, , ,21-36, ,Offensive rebound by D. Dedmon
7:57.0, , ,21-36, ,D. Dedmon misses 2-pt layup at rim
7:57.0, , ,21-36, ,Offensive rebound by D. Dedmon
7:57.0, , ,21-36, ,Personal foul by M. Richardson (drawn by D. Dedmon)
7:57.0, , ,21-36, ,D. Schröder enters the game for I. Taylor
7:57.0,Z. Randolph enters the game for M. Richardson, ,21-36, , 
7:50.0, , ,21-38,+2,D. Dedmon makes 2-pt dunk from 1 ft (assist by K. Bazemore)
7:43.0,Sacramento full timeout, ,21-38, , 
7:28.0,D. Fox makes 2-pt jump shot from 17 ft (assist by B. Hield),+2,23-38, , 
7:14.0, , ,23-38, ,Personal foul by J. Jackson (drawn by T. Prince)
7:06.0, , ,23-40,+2,K. Bazemore makes 2-pt jump shot from 19 ft (assist by E. İlyasova)
6:53.0,Personal foul by E. İlyasova (drawn by Z. Randolph), ,23-40, , 
6:40.0,J. Jackson misses 2-pt layup from 1 ft, ,23-40, , 
6:36.0, , ,23-40, ,Defensive rebound by E. İlyasova
6:32.0, , ,23-43,+3,D. Schröder makes 3-pt jump shot from 25 ft (assist by K. Bazemore)
6:17.0,B. Hield misses 2-pt jump shot from 21 ft, ,23-43, , 
6:13.0,Offensive rebound by K. Koufos, ,23-43, , 
6:13.0,K. Koufos makes 2-pt layup from 2 ft,+2,25-43, , 
5:56.0, , ,25-43, ,E. İlyasova misses 2-pt jump shot from 12 ft
5:53.0, , ,25-43, ,Offensive rebound by D. Dedmon
5:51.0, , ,25-43, ,T. Prince misses 3-pt jump shot from 23 ft
5:51.0, , ,25-43, ,Offensive rebound by E. İlyasova
5:44.0, , ,25-43, ,E. İlyasova misses 2-pt layup from 2 ft
5:44.0,Defensive rebound by K. Koufos, ,25-43, , 
5:40.0,J. Jackson makes 2-pt layup from 2 ft (assist by D. Fox),+2,27-43, , 
5:34.0, , ,27-43, ,Atlanta full timeout
5:34.0, , ,27-43, ,T. Cavanaugh enters the game for E. İlyasova
5:34.0,B. Bogdanović enters the game for J. Jackson, ,27-43, , 
5:34.0,W. Cauley-Stein enters the game for K. Koufos, ,27-43, , 
5:21.0, , ,27-45,+2,D. Dedmon makes 2-pt layup from 2 ft (assist by T. Cavanaugh)
5:03.0,W. Cauley-Stein misses 2-pt hook shot from 8 ft, ,27-45, , 
5:00.0, , ,27-45, ,Defensive rebound by T. Cavanaugh
4:53.0, , ,27-45, ,Turnover by D. Schröder (lost ball; steal by D. Fox)
4:49.0,D. Fox misses 2-pt layup from 2 ft, ,27-45, , 
4:43.0, , ,27-45, ,Defensive rebound by D. Dedmon
4:39.0, , ,27-45, ,D. Schröder misses 2-pt jump shot from 6 ft
4:39.0, , ,27-45, ,Offensive rebound by D. Dedmon
4:37.0, , ,27-45, ,Shooting foul by B. Bogdanović (drawn by D. Dedmon)
4:37.0, , ,27-45, ,D. Dedmon misses free throw 1 of 2
4:37.0, , ,27-45, ,Offensive rebound by Team
4:37.0, , ,27-45, ,D. Dedmon misses free throw 2 of 2
4:34.0,Defensive rebound by W. Cauley-Stein, ,27-45, , 
4:28.0,Z. Randolph misses 2-pt jump shot from 17 ft, ,27-45, , 
4:24.0, , ,27-45, ,Defensive rebound by D. Dedmon
4:15.0, , ,27-48,+3,T. Cavanaugh makes 3-pt jump shot from 24 ft (assist by D. Dedmon)
3:54.0,W. Cauley-Stein misses 2-pt layup from 3 ft (block by D. Dedmon), ,27-48, , 
3:50.0, , ,27-48, ,Defensive rebound by K. Bazemore
3:45.0, , ,27-50,+2,K. Bazemore makes 2-pt layup from 2 ft
3:38.0,Personal foul by D. Dedmon (drawn by D. Fox), ,27-50, , 
3:38.0, , ,27-50, ,M. Belinelli enters the game for K. Bazemore
3:38.0,G. Hill enters the game for D. Fox, ,27-50, , 
3:38.0,G. Temple enters the game for B. Hield, ,27-50, , 
3:31.0,G. Hill misses 2-pt jump shot from 15 ft, ,27-50, , 
3:28.0, , ,27-50, ,Defensive rebound by D. Dedmon
3:23.0, , ,27-53,+3,T. Prince makes 3-pt jump shot from 22 ft (assist by M. Belinelli)
3:16.0,Sacramento full timeout, ,27-53, , 
3:09.0,Turnover by W. Cauley-Stein (out of bounds lost ball), ,27-53, , 
2:51.0, , ,27-55,+2,D. Dedmon makes 2-pt layup from 1 ft (assist by D. Schröder)
2:43.0,Personal foul by T. Cavanaugh (drawn by Z. Randolph), ,27-55, , 
2:32.0,G. Hill makes 2-pt layup from 1 ft (assist by W. Cauley-Stein),+2,29-55, , 
2:24.0, , ,29-55, ,Personal block foul by W. Cauley-Stein (drawn by D. Schröder)
2:24.0, , ,29-56,+1,D. Schröder makes free throw 1 of 2
2:24.0, , ,29-57,+1,D. Schröder makes free throw 2 of 2
2:10.0,G. Temple misses 2-pt layup from 1 ft, ,29-57, , 
2:08.0,Offensive rebound by Z. Randolph, ,29-57, , 
2:06.0,Z. Randolph makes 2-pt layup at rim,+2,31-57, , 
1:55.0, , ,31-59,+2,D. Schröder makes 2-pt jump shot from 17 ft
1:42.0,Z. Randolph misses 3-pt jump shot from 25 ft, ,31-59, , 
1:39.0, , ,31-59, ,Defensive rebound by D. Dedmon
1:31.0, , ,31-61,+2,D. Dedmon makes 2-pt jump shot from 19 ft (assist by D. Schröder)
1:08.0,Turnover by B. Bogdanović (bad pass; steal by D. Dedmon), ,31-61, , 
1:00.0, , ,31-61, ,T. Cavanaugh misses 3-pt jump shot from 25 ft
0:56.0,Defensive rebound by G. Temple, ,31-61, , 
0:44.0,B. Bogdanović misses 3-pt jump shot from 25 ft, ,31-61, , 
0:40.0,Offensive rebound by G. Temple, ,31-61, , 
0:38.0,G. Temple misses 2-pt jump shot from 22 ft, ,31-61, , 
0:33.0,Offensive rebound by Z. Randolph, ,31-61, , 
0:33.0,Z. Randolph makes 2-pt layup from 1 ft,+2,33-61, , 
0:27.0, , ,33-63,+2,D. Dedmon makes 2-pt jump shot from 10 ft (assist by D. Schröder)
0:27.0, , ,33-63, ,Shooting foul by B. Bogdanović (drawn by D. Dedmon)
0:27.0, , ,33-64,+1,D. Dedmon makes free throw 1 of 1
0:05.0,Z. Randolph makes 2-pt layup from 3 ft (assist by G. Temple),+2,35-64, , 
0:00.0, , ,35-64, ,D. Schröder misses 3-pt jump shot from 24 ft
0:00.0, , ,35-64, ,Offensive rebound by Team
11:41.0,W. Cauley-Stein makes 2-pt layup from 1 ft (assist by G. Hill),+2,37-64, , 
11:26.0,Offensive charge foul by T. Prince (drawn by W. Cauley-Stein), ,37-64, , 
11:26.0, , ,37-64, ,Turnover by T. Prince (offensive foul)
11:18.0,Personal foul by T. Prince (drawn by B. Bogdanović), ,37-64, , 
11:18.0, , ,37-64, ,Turnover by T. Prince (turnover)
11:14.0,Personal foul by K. Bazemore (drawn by G. Temple), ,37-64, , 
11:07.0,Turnover by Z. Randolph (bad pass; steal by T. Prince), ,37-64, , 
11:03.0, , ,37-64, ,Turnover by T. Prince (bad pass; steal by G. Hill)
11:03.0,G. Hill misses 2-pt jump shot from 10 ft, ,37-64, , 
11:03.0, , ,37-64, ,Defensive rebound by D. Dedmon
10:42.0,Turnover by W. Cauley-Stein (bad pass; steal by T. Prince), ,37-64, , 
10:35.0, , ,37-66,+2,D. Schröder makes 2-pt layup from 3 ft
10:14.0,B. Bogdanović makes 2-pt layup from 2 ft,+2,39-66, , 
10:01.0, , ,39-66, ,T. Prince misses 3-pt jump shot from 22 ft
9:56.0,Defensive rebound by G. Hill, ,39-66, , 
9:53.0,B. Bogdanović misses 3-pt jump shot from 25 ft, ,39-66, , 
9:53.0,Offensive rebound by Team, ,39-66, , 
9:53.0, , ,39-66, ,Loose ball foul by T. Cavanaugh (drawn by Z. Randolph)
9:53.0, , ,39-66, ,M. Delaney enters the game for T. Prince
9:42.0,Z. Randolph makes 2-pt hook shot from 7 ft (assist by W. Cauley-Stein),+2,41-66, , 
9:14.0, , ,41-66, ,Shooting foul by W. Cauley-Stein (drawn by D. Schröder)
9:14.0, , ,41-66, ,D. Schröder misses free throw 1 of 2
9:14.0, , ,41-66, ,Offensive rebound by Team
9:14.0, , ,41-67,+1,D. Schröder makes free throw 2 of 2
9:02.0,Z. Randolph makes 2-pt jump shot from 15 ft (assist by G. Temple),+2,43-67, , 
9:02.0,Shooting foul by T. Cavanaugh (drawn by Z. Randolph), ,43-67, , 
9:02.0, , ,43-67, ,E. İlyasova enters the game for T. Cavanaugh
9:02.0,Z. Randolph makes free throw 1 of 1,+1,44-67, , 
8:53.0, , ,44-67, ,Shooting foul by G. Temple (drawn by K. Bazemore)
8:53.0, , ,44-68,+1,K. Bazemore makes free throw 1 of 2
8:53.0, , ,44-69,+1,K. Bazemore makes free throw 2 of 2
8:40.0,B. Bogdanović makes 2-pt layup from 1 ft (assist by W. Cauley-Stein),+2,46-69, , 
8:26.0, , ,46-69, ,Turnover by D. Schröder (bad pass; steal by G. Hill)
8:21.0,G. Temple makes 3-pt jump shot from 22 ft (assist by G. Hill),+3,49-69, , 
8:20.0, , ,49-69, ,Atlanta full timeout
8:04.0, , ,49-69, ,Turnover by D. Schröder (bad pass; steal by G. Hill)
7:47.0,Z. Randolph misses 3-pt jump shot from 25 ft, ,49-69, , 
7:47.0,Offensive rebound by Z. Randolph, ,49-69, , 
7:47.0,Shooting foul by D. Schröder (drawn by Z. Randolph), ,49-69, , 
7:47.0,Z. Randolph misses free throw 1 of 2, ,49-69, , 
7:47.0,Offensive rebound by Team, ,49-69, , 
7:47.0,Z. Randolph makes free throw 2 of 2,+1,50-69, , 
7:36.0, , ,50-71,+2,D. Schröder makes 2-pt layup from 1 ft
7:24.0,B. Bogdanović misses 2-pt jump shot from 10 ft, ,50-71, , 
7:20.0, , ,50-71, ,Defensive rebound by K. Bazemore
7:16.0, , ,50-71, ,K. Bazemore misses 3-pt jump shot from 25 ft
7:15.0,Defensive rebound by Team, ,50-71, , 
6:58.0,Turnover by G. Temple (turnover), ,50-71, , 
6:58.0, , ,50-71, ,J. Collins enters the game for D. Dedmon
6:58.0,B. Hield enters the game for G. Temple, ,50-71, , 
6:45.0, , ,50-71, ,Turnover by D. Schröder (bad pass; steal by B. Hield)
6:40.0,B. Hield makes 2-pt layup from 2 ft,+2,52-71, , 
6:25.0, , ,52-73,+2,D. Schröder makes 2-pt layup from 1 ft
6:03.0,B. Hield misses 2-pt jump shot from 21 ft, ,52-73, , 
6:00.0, , ,52-73, ,Defensive rebound by J. Collins
5:48.0, , ,52-73, ,K. Bazemore misses 3-pt jump shot from 23 ft
5:45.0,Defensive rebound by B. Bogdanović, ,52-73, , 
5:39.0, , ,52-73, ,M. Belinelli enters the game for K. Bazemore
5:39.0,K. Koufos enters the game for W. Cauley-Stein, ,52-73, , 
5:33.0,G. Hill misses 3-pt jump shot from 26 ft, ,52-73, , 
5:30.0, , ,52-73, ,Defensive rebound by E. İlyasova
5:27.0, , ,52-73, ,D. Dedmon enters the game for E. İlyasova
5:19.0, , ,52-75,+2,M. Belinelli makes 2-pt jump shot from 19 ft (assist by D. Schröder)
5:19.0, , ,52-75, ,Shooting foul by B. Hield (drawn by M. Belinelli)
5:19.0, , ,52-76,+1,M. Belinelli makes free throw 1 of 1
5:00.0,G. Hill makes 3-pt jump shot from 23 ft (assist by Z. Randolph),+3,55-76, , 
4:39.0, , ,55-78,+2,D. Dedmon makes 2-pt hook shot from 14 ft (assist by D. Schröder)
4:30.0,G. Hill misses 3-pt jump shot from 25 ft, ,55-78, , 
4:27.0, , ,55-78, ,Defensive rebound by D. Dedmon
4:18.0, , ,55-80,+2,J. Collins makes 2-pt dunk from 1 ft (assist by D. Dedmon)
4:07.0,Z. Randolph makes 2-pt jump shot from 19 ft,+2,57-80, , 
3:50.0, , ,57-83,+3,D. Schröder makes 3-pt jump shot from 24 ft (assist by M. Belinelli)
3:37.0,G. Hill makes 2-pt layup from 1 ft,+2,59-83, , 
3:20.0, , ,59-83, ,D. Schröder misses 3-pt jump shot from 24 ft
3:17.0, , ,59-83, ,Offensive rebound by D. Dedmon
3:13.0, , ,59-85,+2,M. Belinelli makes 2-pt layup from 3 ft (assist by D. Dedmon)
2:57.0,Personal foul by D. Dedmon (drawn by G. Hill), ,59-85, , 
2:57.0,Sacramento full timeout, ,59-85, , 
2:57.0, , ,59-85, ,I. Taylor enters the game for D. Schröder
2:57.0,J. Jackson enters the game for B. Bogdanović, ,59-85, , 
2:57.0,D. Fox enters the game for Z. Randolph, ,59-85, , 
2:57.0,G. Hill makes free throw 1 of 2,+1,60-85, , 
2:57.0,G. Hill makes free throw 2 of 2,+1,61-85, , 
2:39.0, , ,61-85, ,M. Delaney misses 3-pt jump shot from 24 ft
2:34.0,Defensive rebound by D. Fox, ,61-85, , 
2:20.0,Shooting foul by D. Dedmon (drawn by J. Jackson), ,61-85, , 
2:20.0,J. Jackson misses free throw 1 of 2, ,61-85, , 
2:20.0,Offensive rebound by Team, ,61-85, , 
2:20.0, , ,61-85, ,K. Bazemore enters the game for D. Dedmon
2:20.0,J. Jackson misses free throw 2 of 2, ,61-85, , 
2:18.0, , ,61-85, ,Defensive rebound by M. Delaney
2:11.0, , ,61-85, ,Shooting foul by D. Fox (drawn by M. Delaney)
2:00.0, , ,61-87,+2,K. Bazemore makes 2-pt jump shot from 12 ft
1:51.0,Turnover by B. Hield (bad pass; steal by M. Belinelli), ,61-87, , 
1:43.0, , ,61-89,+2,J. Collins makes 2-pt layup from 2 ft (assist by M. Belinelli)
1:42.0,Shooting foul by J. Collins (drawn by K. Koufos), ,61-89, , 
1:42.0,K. Koufos misses free throw 1 of 2, ,61-89, , 
1:42.0,Offensive rebound by Team, ,61-89, , 
1:42.0, , ,61-89, ,T. Prince enters the game for M. Delaney
1:42.0,K. Koufos misses free throw 2 of 2, ,61-89, , 
1:38.0, , ,61-89, ,Defensive rebound by K. Bazemore
1:23.0, , ,61-89, ,Shooting foul by J. Jackson (drawn by T. Prince)
1:23.0, , ,61-89, ,T. Prince misses free throw 1 of 2
1:23.0, , ,61-89, ,Offensive rebound by Team
1:23.0, , ,61-90,+1,T. Prince makes free throw 2 of 2
1:07.0,Turnover by D. Fox (bad pass; steal by T. Prince), ,61-90, , 
1:03.0, , ,61-90, ,Turnover by T. Prince (bad pass; steal by J. Jackson)
0:58.0, , ,61-90, ,Offensive charge foul by K. Koufos (drawn by T. Prince)
0:58.0,Turnover by K. Koufos (offensive foul), ,61-90, , 
0:46.0, , ,61-92,+2,M. Belinelli makes 2-pt jump shot from 21 ft
0:32.0,B. Hield misses 3-pt jump shot from 26 ft, ,61-92, , 
0:30.0, , ,61-92, ,Defensive rebound by Team
0:30.0,M. Richardson enters the game for G. Hill, ,61-92, , 
0:08.0, , ,61-92, ,M. Belinelli misses 3-pt jump shot from 26 ft
0:05.0, , ,61-92, ,Offensive rebound by J. Collins
0:03.0, , ,61-92, ,Turnover by J. Collins (lost ball; steal by M. Richardson)
11:46.0, , ,61-94,+2,I. Taylor makes 2-pt layup from 1 ft (assist by T. Prince)
11:32.0, , ,61-94, ,Violation by T. Prince (kicked ball)
11:22.0,D. Fox misses 2-pt jump shot from 21 ft, ,61-94, , 
11:18.0, , ,61-94, ,Defensive rebound by K. Bazemore
11:05.0, , ,61-96,+2,J. Collins makes 2-pt dunk at rim (assist by T. Prince)
10:43.0,B. Hield misses 3-pt jump shot from 24 ft, ,61-96, , 
10:40.0, , ,61-96, ,Defensive rebound by T. Prince
10:36.0, , ,61-96, ,Turnover by T. Prince (bad pass; steal by K. Koufos)
10:32.0,J. Jackson misses 2-pt layup from 3 ft (block by K. Bazemore), ,61-96, , 
10:31.0,Offensive rebound by B. Hield, ,61-96, , 
10:31.0,Shooting foul by T. Prince (drawn by B. Hield), ,61-96, , 
10:31.0,B. Hield makes free throw 1 of 2,+1,62-96, , 
10:31.0, , ,62-96, ,M. Delaney enters the game for M. Belinelli
10:31.0,G. Papagiannis enters the game for K. Koufos, ,62-96, , 
10:31.0,B. Hield misses free throw 2 of 2, ,62-96, , 
10:28.0, , ,62-96, ,Defensive rebound by J. Collins
10:13.0, , ,62-99,+3,I. Taylor makes 3-pt jump shot from 24 ft (assist by T. Prince)
10:03.0,M. Richardson misses 2-pt layup from 2 ft, ,62-99, , 
9:59.0, , ,62-99, ,Defensive rebound by M. Delaney
9:56.0, , ,62-99, ,Turnover by M. Delaney (lost ball; steal by D. Fox)
9:51.0,B. Hield makes 3-pt jump shot from 24 ft (assist by D. Fox),+3,65-99, , 
9:33.0, , ,65-99, ,K. Bazemore misses 3-pt jump shot from 22 ft
9:31.0, , ,65-99, ,Offensive rebound by J. Collins
9:31.0, , ,65-99, ,Shooting foul by B. Hield (drawn by J. Collins)
9:31.0, , ,65-99, ,E. İlyasova enters the game for K. Bazemore
9:31.0,F. Mason enters the game for B. Hield, ,65-99, , 
9:25.0, , ,65-99, ,J. Collins misses 2-pt dunk from 4 ft
9:23.0,Defensive rebound by Team, ,65-99, , 
9:10.0,M. Richardson misses 3-pt jump shot from 24 ft, ,65-99, , 
