time,away_description,away_change,score,home_change,home_description
8:59.0,Personal foul by K. Porziņģis (drawn by D. Cousins), ,6-5, , 
8:59.0, , ,6-5, ,L. Thomas enters the game for C. Anthony
8:51.0,Personal foul by D. Rose (drawn by D. Collison), ,6-5, , 
8:44.0,Turnover by R. Gay (bad pass; steal by J. Noah), ,6-5, , 
8:39.0, , ,6-5, ,Turnover by L. Thomas (bad pass; steal by R. Gay)
8:31.0,A. Afflalo misses 2-pt jump shot from 23 ft, ,6-5, , 
8:30.0, , ,6-5, ,Defensive rebound by J. Noah
8:20.0, , ,6-5, ,Turnover by K. Porziņģis (lost ball; steal by D. Cousins)
8:15.0,D. Cousins makes 2-pt layup at rim (assist by R. Gay),+2,8-5, , 
8:02.0, , ,8-7,+2,D. Rose makes 2-pt jump shot from 14 ft (assist by K. Porziņģis)
7:49.0,Personal foul by L. Thomas (drawn by D. Cousins), ,8-7, , 
7:49.0,D. Cousins makes free throw 1 of 2,+1,9-7, , 
7:49.0,D. Cousins makes free throw 2 of 2,+1,10-7, , 
7:32.0, , ,10-7, ,K. Porziņģis misses 2-pt jump shot from 15 ft (block by D. Cousins)
7:31.0,Defensive rebound by K. Koufos, ,10-7, , 
7:16.0,A. Afflalo makes 3-pt jump shot from 24 ft (assist by D. Cousins),+3,13-7, , 
7:06.0, , ,13-9,+2,D. Rose makes 2-pt jump shot from 4 ft
6:50.0,R. Gay misses 2-pt jump shot from 7 ft, ,13-9, , 
6:48.0,Offensive rebound by K. Koufos, ,13-9, , 
6:48.0,K. Koufos misses 2-pt layup from 1 ft, ,13-9, , 
6:46.0, , ,13-9, ,Defensive rebound by K. Porziņģis
6:39.0, , ,13-9, ,L. Thomas misses 2-pt jump shot from 8 ft
6:38.0,Defensive rebound by A. Afflalo, ,13-9, , 
6:20.0,D. Cousins misses 2-pt jump shot from 19 ft, ,13-9, , 
6:19.0, , ,13-9, ,Defensive rebound by J. Holiday
6:13.0, , ,13-9, ,Shooting foul by R. Gay (drawn by L. Thomas)
6:13.0, , ,13-10,+1,L. Thomas makes free throw 1 of 2
6:13.0, , ,13-10, ,L. Thomas misses free throw 2 of 2
6:13.0, , ,13-10, ,K. O'Quinn enters the game for J. Noah
6:12.0, , ,13-10, ,Offensive rebound by K. O'Quinn
6:07.0, , ,13-10, ,J. Holiday misses 3-pt jump shot from 26 ft
6:06.0,Defensive rebound by Team, ,13-10, , 
6:06.0, , ,13-10, ,Loose ball foul by K. O'Quinn (drawn by D. Cousins)
6:06.0,D. Cousins makes free throw 1 of 2,+1,14-10, , 
6:06.0,D. Cousins makes free throw 2 of 2,+1,15-10, , 
5:55.0, , ,15-10, ,J. Holiday misses 2-pt jump shot from 22 ft
5:54.0, , ,15-10, ,Offensive rebound by Team
5:54.0,Loose ball foul by K. Koufos (drawn by K. O'Quinn), ,15-10, , 
5:54.0, , ,15-10, ,New York full timeout
5:37.0, , ,15-10, ,K. O'Quinn misses 2-pt jump shot from 17 ft
5:36.0,Defensive rebound by K. Koufos, ,15-10, , 
5:20.0, , ,15-10, ,C. Anthony enters the game for K. Porziņģis
5:20.0,M. Barnes enters the game for K. Koufos, ,15-10, , 
5:19.0,Turnover by R. Gay (bad pass; steal by J. Holiday), ,15-10, , 
5:14.0, , ,15-10, ,Turnover by J. Holiday (bad pass; steal by R. Gay)
4:58.0,D. Cousins misses 2-pt dunk at rim (block by K. O'Quinn), ,15-10, , 
4:57.0, , ,15-10, ,Defensive rebound by J. Holiday
4:49.0, , ,15-10, ,C. Anthony misses 3-pt jump shot from 25 ft
4:48.0, , ,15-10, ,Offensive rebound by D. Rose
4:31.0, , ,15-12,+2,D. Rose makes 2-pt jump shot from 11 ft (assist by C. Anthony)
4:21.0,D. Collison misses 3-pt jump shot from 24 ft, ,15-12, , 
4:20.0, , ,15-12, ,Defensive rebound by K. O'Quinn
4:06.0, , ,15-12, ,L. Thomas misses 2-pt jump shot from 22 ft
4:05.0, , ,15-12, ,Offensive rebound by J. Holiday
4:02.0, , ,15-15,+3,L. Thomas makes 3-pt jump shot from 23 ft (assist by J. Holiday)
3:49.0,Personal foul by K. O'Quinn (drawn by D. Cousins), ,15-15, , 
3:49.0,D. Cousins misses free throw 1 of 2, ,15-15, , 
3:49.0,Offensive rebound by Team, ,15-15, , 
3:49.0,T. Lawson enters the game for D. Collison, ,15-15, , 
3:49.0,O. Casspi enters the game for R. Gay, ,15-15, , 
3:49.0,D. Cousins makes free throw 2 of 2,+1,16-15, , 
3:34.0, , ,16-15, ,K. O'Quinn misses 2-pt jump shot from 20 ft
3:33.0,Defensive rebound by O. Casspi, ,16-15, , 
3:23.0,M. Barnes misses 3-pt jump shot from 25 ft, ,16-15, , 
3:22.0, , ,16-15, ,Defensive rebound by K. O'Quinn
3:15.0, , ,16-15, ,L. Thomas misses 2-pt layup from 3 ft
3:14.0,Defensive rebound by A. Afflalo, ,16-15, , 
3:04.0,A. Afflalo misses 2-pt jump shot from 16 ft, ,16-15, , 
3:03.0,Offensive rebound by M. Barnes, ,16-15, , 
2:57.0,T. Lawson misses 3-pt jump shot from 25 ft, ,16-15, , 
2:56.0, , ,16-15, ,Defensive rebound by K. O'Quinn
2:53.0, , ,16-15, ,J. Holiday misses 2-pt layup from 3 ft
2:51.0, , ,16-15, ,Offensive rebound by J. Holiday
2:50.0, , ,16-17,+2,J. Holiday makes 2-pt layup from 1 ft
2:36.0,A. Afflalo misses 2-pt jump shot from 12 ft, ,16-17, , 
2:35.0, , ,16-17, ,Defensive rebound by K. O'Quinn
2:24.0, , ,16-17, ,D. Rose misses 2-pt layup from 2 ft (block by D. Cousins)
2:23.0, , ,16-17, ,Offensive rebound by Team
2:23.0,Sacramento full timeout, ,16-17, , 
2:09.0, , ,16-17, ,L. Thomas misses 2-pt hook shot from 6 ft
2:08.0,Defensive rebound by D. Cousins, ,16-17, , 
1:51.0,D. Cousins makes 2-pt layup from 3 ft,+2,18-17, , 
1:33.0, , ,18-19,+2,C. Anthony makes 2-pt jump shot from 18 ft (assist by D. Rose)
1:18.0,Offensive foul by M. Barnes (drawn by L. Thomas), ,18-19, , 
1:18.0,Turnover by M. Barnes (offensive foul), ,18-19, , 
1:06.0, , ,18-22,+3,L. Thomas makes 3-pt jump shot from 23 ft (assist by D. Rose)
0:39.0,D. Cousins misses 2-pt jump shot from 21 ft, ,18-22, , 
0:38.0, , ,18-22, ,Defensive rebound by L. Thomas
0:31.0, , ,18-24,+2,D. Rose makes 2-pt jump shot from 15 ft
0:23.0,D. Cousins misses 2-pt layup from 3 ft (block by K. O'Quinn), ,18-24, , 
0:22.0, , ,18-24, ,Defensive rebound by K. O'Quinn
0:18.0, , ,18-26,+2,K. O'Quinn makes 2-pt dunk at rim
0:03.0,D. Cousins makes 3-pt jump shot from 25 ft (assist by T. Lawson),+3,21-26, , 
0:01.0, , ,21-26, ,C. Anthony misses 3-pt jump shot from 64 ft
0:00.0, , ,21-26, ,Offensive rebound by Team
11:46.0,K. Koufos misses 2-pt hook shot from 8 ft, ,21-26, , 
11:45.0,Offensive rebound by Team, ,21-26, , 
11:38.0,M. Barnes misses 3-pt jump shot from 24 ft, ,21-26, , 
11:37.0, , ,21-26, ,Defensive rebound by S. Vujačić
11:22.0, , ,21-26, ,C. Anthony misses 2-pt jump shot from 18 ft
11:21.0,Defensive rebound by K. Koufos, ,21-26, , 
11:14.0,O. Casspi misses 3-pt jump shot from 26 ft, ,21-26, , 
11:13.0, , ,21-26, ,Defensive rebound by W. Hernangómez
11:04.0, , ,21-26, ,Shooting foul by K. Koufos (drawn by W. Hernangómez)
11:04.0, , ,21-27,+1,W. Hernangómez makes free throw 1 of 2
11:04.0, , ,21-28,+1,W. Hernangómez makes free throw 2 of 2
10:48.0,Turnover by T. Lawson (bad pass), ,21-28, , 
10:48.0,Violation by M. Barnes (kicked ball), ,21-28, , 
10:40.0, , ,21-28, ,Turnover by B. Jennings (bad pass)
10:28.0,M. Barnes misses 2-pt jump shot from 4 ft, ,21-28, , 
10:27.0,Offensive rebound by K. Koufos, ,21-28, , 
10:22.0,O. Casspi misses 2-pt layup at rim, ,21-28, , 
10:21.0, , ,21-28, ,Defensive rebound by S. Vujačić
10:10.0, , ,21-30,+2,C. Anthony makes 2-pt dunk at rim
10:02.0,O. Casspi makes 2-pt layup from 2 ft (assist by G. Temple),+2,23-30, , 
9:50.0, , ,23-32,+2,W. Hernangómez makes 2-pt layup at rim (assist by B. Jennings)
9:42.0,T. Lawson misses 2-pt layup at rim (block by W. Hernangómez), ,23-32, , 
9:41.0, , ,23-32, ,Defensive rebound by Team
9:29.0, , ,23-34,+2,C. Anthony makes 2-pt jump shot from 10 ft (assist by W. Hernangómez)
9:23.0,Sacramento full timeout, ,23-34, , 
9:23.0,R. Gay enters the game for O. Casspi, ,23-34, , 
9:11.0,R. Gay misses 2-pt jump shot from 17 ft, ,23-34, , 
9:10.0, , ,23-34, ,Defensive rebound by K. Porziņģis
9:03.0, , ,23-34, ,K. Porziņģis misses 3-pt jump shot from 26 ft
9:02.0, , ,23-34, ,Offensive rebound by S. Vujačić
8:55.0, , ,23-36,+2,K. Porziņģis makes 2-pt dunk at rim (assist by W. Hernangómez)
8:40.0,M. Barnes misses 2-pt jump shot from 18 ft, ,23-36, , 
8:39.0,Offensive rebound by K. Koufos, ,23-36, , 
8:39.0,K. Koufos misses 2-pt layup at rim, ,23-36, , 
8:38.0, , ,23-36, ,Defensive rebound by W. Hernangómez
8:27.0, , ,23-36, ,C. Anthony misses 2-pt layup from 1 ft
8:26.0,Defensive rebound by G. Temple, ,23-36, , 
8:21.0,G. Temple makes 2-pt layup from 1 ft,+2,25-36, , 
8:00.0, , ,25-36, ,K. Porziņģis misses 2-pt jump shot from 21 ft
7:59.0,Defensive rebound by K. Koufos, ,25-36, , 
7:55.0,Turnover by T. Lawson (bad pass; steal by S. Vujačić), ,25-36, , 
7:47.0, , ,25-39,+3,B. Jennings makes 3-pt jump shot from 25 ft (assist by S. Vujačić)
7:38.0,M. Barnes misses 2-pt jump shot from 23 ft, ,25-39, , 
7:37.0, , ,25-39, ,Defensive rebound by S. Vujačić
7:32.0, , ,25-39, ,K. Porziņģis misses 2-pt layup from 3 ft (block by G. Temple)
7:31.0, , ,25-39, ,Offensive rebound by K. Porziņģis
7:29.0, , ,25-39, ,K. Porziņģis misses 3-pt jump shot from 23 ft
7:28.0,Defensive rebound by G. Temple, ,25-39, , 
7:25.0,Turnover by G. Temple (lost ball), ,25-39, , 
7:25.0,D. Cousins enters the game for M. Barnes, ,25-39, , 
7:10.0, , ,25-42,+3,B. Jennings makes 3-pt jump shot from 26 ft
6:51.0,R. Gay makes 2-pt jump shot from 15 ft,+2,27-42, , 
6:42.0, , ,27-42, ,Turnover by B. Jennings (lost ball; steal by T. Lawson)
6:37.0,D. Collison enters the game for T. Lawson, ,27-42, , 
6:26.0,K. Koufos misses 2-pt layup from 1 ft, ,27-42, , 
6:25.0,Offensive rebound by K. Koufos, ,27-42, , 
6:21.0,K. Koufos misses 2-pt layup at rim, ,27-42, , 
6:20.0, , ,27-42, ,Defensive rebound by K. Porziņģis
6:07.0, , ,27-45,+3,C. Anthony makes 3-pt jump shot from 25 ft (assist by W. Hernangómez)
5:59.0,Sacramento full timeout, ,27-45, , 
5:59.0,Official timeout, ,27-45, , 
5:59.0, , ,27-45, ,M. Kuzminskas enters the game for K. Porziņģis
5:47.0,D. Cousins misses 2-pt jump shot from 4 ft, ,27-45, , 
5:46.0, , ,27-45, ,Defensive rebound by W. Hernangómez
5:22.0, , ,27-48,+3,S. Vujačić makes 3-pt jump shot from 26 ft (assist by M. Kuzminskas)
5:05.0,D. Cousins misses 2-pt jump shot from 19 ft, ,27-48, , 
5:04.0,Offensive rebound by R. Gay, ,27-48, , 
4:58.0,D. Collison makes 2-pt layup from 1 ft (assist by R. Gay),+2,29-48, , 
4:50.0, , ,29-48, ,B. Jennings misses 3-pt jump shot from 25 ft
4:49.0,Defensive rebound by D. Cousins, ,29-48, , 
4:48.0,Turnover by D. Collison (traveling), ,29-48, , 
4:42.0, , ,29-48, ,M. Kuzminskas misses 3-pt jump shot from 25 ft
4:41.0,Defensive rebound by G. Temple, ,29-48, , 
4:31.0,R. Gay makes 2-pt layup from 1 ft,+2,31-48, , 
4:10.0, , ,31-48, ,C. Anthony misses 2-pt jump shot from 17 ft
4:09.0,Defensive rebound by D. Cousins, ,31-48, , 
4:00.0,D. Collison makes 2-pt layup from 1 ft,+2,33-48, , 
4:00.0, , ,33-48, ,New York full timeout
4:00.0, , ,33-48, ,D. Rose enters the game for C. Anthony
4:00.0, , ,33-48, ,J. Noah enters the game for W. Hernangómez
4:00.0, , ,33-48, ,K. Porziņģis enters the game for S. Vujačić
3:42.0, , ,33-48, ,Turnover by M. Kuzminskas (lost ball; steal by D. Collison)
3:37.0,R. Gay misses 2-pt layup from 1 ft, ,33-48, , 
3:36.0,Offensive rebound by D. Collison, ,33-48, , 
3:35.0,D. Collison misses 2-pt layup from 1 ft, ,33-48, , 
3:34.0, , ,33-48, ,Defensive rebound by K. Porziņģis
3:23.0, , ,33-48, ,Turnover by D. Rose (bad pass; steal by D. Collison)
3:15.0,Personal foul by M. Kuzminskas (drawn by D. Collison), ,33-48, , 
3:15.0,W. Cauley-Stein enters the game for K. Koufos, ,33-48, , 
3:05.0,Shooting foul by J. Noah (drawn by D. Cousins), ,33-48, , 
3:05.0,D. Cousins makes free throw 1 of 2,+1,34-48, , 
3:05.0,D. Cousins makes free throw 2 of 2,+1,35-48, , 
2:51.0, , ,35-48, ,Turnover by D. Rose (bad pass; steal by G. Temple)
2:45.0,G. Temple makes 3-pt jump shot from 25 ft (assist by D. Collison),+3,38-48, , 
2:25.0, , ,38-51,+3,M. Kuzminskas makes 3-pt jump shot from 23 ft (assist by D. Rose)
2:13.0,Def 3 sec tech foul by K. Porziņģis, ,38-51, , 
2:13.0,R. Gay makes technical free throw,+1,39-51, , 
2:13.0, , ,39-51, ,C. Anthony enters the game for M. Kuzminskas
2:13.0, , ,39-51, ,J. Holiday enters the game for B. Jennings
2:03.0,R. Gay misses 3-pt jump shot from 25 ft, ,39-51, , 
2:02.0, , ,39-51, ,Defensive rebound by D. Rose
1:53.0, , ,39-53,+2,D. Rose makes 2-pt hook shot from 8 ft
1:29.0,D. Cousins misses 2-pt jump shot from 15 ft, ,39-53, , 
1:28.0, , ,39-53, ,Defensive rebound by C. Anthony
1:20.0,Violation by D. Collison (kicked ball), ,39-53, , 
1:06.0, , ,39-53, ,K. Porziņģis misses 2-pt jump shot from 21 ft
1:05.0,Defensive rebound by R. Gay, ,39-53, , 
0:55.0,Turnover by D. Cousins (bad pass; steal by J. Holiday), ,39-53, , 
0:49.0, , ,39-53, ,J. Holiday misses 3-pt jump shot from 25 ft
0:48.0,Defensive rebound by R. Gay, ,39-53, , 
0:34.0,W. Cauley-Stein misses 2-pt jump shot from 3 ft, ,39-53, , 
0:33.0,Offensive rebound by W. Cauley-Stein, ,39-53, , 
0:33.0,W. Cauley-Stein makes 2-pt layup from 3 ft,+2,41-53, , 
0:25.0, , ,41-55,+2,D. Rose makes 2-pt jump shot from 17 ft
0:02.0,R. Gay misses 2-pt jump shot from 6 ft, ,41-55, , 
0:00.0, , ,41-55, ,Defensive rebound by J. Holiday
11:46.0,Personal foul by J. Noah (drawn by D. Cousins), ,41-55, , 
11:33.0,D. Cousins misses 2-pt jump shot from 13 ft, ,41-55, , 
11:32.0, , ,41-55, ,Defensive rebound by C. Anthony
11:15.0, , ,41-55, ,J. Noah misses 2-pt layup from 2 ft
11:14.0, , ,41-55, ,Offensive rebound by K. Porziņģis
11:14.0, , ,41-57,+2,K. Porziņģis makes 2-pt dunk at rim
10:50.0,D. Cousins misses 2-pt jump shot from 6 ft, ,41-57, , 
10:49.0, , ,41-57, ,Defensive rebound by J. Holiday
10:38.0, , ,41-57, ,C. Anthony misses 3-pt jump shot from 26 ft
10:37.0, , ,41-57, ,Offensive rebound by J. Holiday
10:27.0, , ,41-57, ,Shooting foul by D. Collison (drawn by D. Rose)
10:27.0, , ,41-58,+1,D. Rose makes free throw 1 of 2
10:27.0, , ,41-59,+1,D. Rose makes free throw 2 of 2
10:08.0,D. Cousins makes 3-pt jump shot from 26 ft (assist by D. Collison),+3,44-59, , 
9:57.0, , ,44-59, ,K. Porziņģis misses 2-pt jump shot from 4 ft
9:56.0, , ,44-59, ,Offensive rebound by J. Noah
9:56.0, , ,44-61,+2,J. Noah makes 2-pt layup from 1 ft
9:42.0,R. Gay makes 3-pt jump shot from 25 ft (assist by D. Collison),+3,47-61, , 
9:29.0, , ,47-63,+2,C. Anthony makes 2-pt jump shot from 10 ft
9:17.0,D. Cousins makes 3-pt jump shot from 25 ft (assist by D. Collison),+3,50-63, , 
9:02.0, , ,50-66,+3,C. Anthony makes 3-pt jump shot from 25 ft (assist by J. Holiday)
8:39.0,K. Koufos misses 2-pt jump shot from 7 ft, ,50-66, , 
8:38.0, , ,50-66, ,Defensive rebound by J. Noah
8:28.0, , ,50-68,+2,K. Porziņģis makes 2-pt jump shot from 16 ft (assist by D. Rose)
8:20.0,Turnover by D. Collison (bad pass), ,50-68, , 
8:20.0,W. Cauley-Stein enters the game for K. Koufos, ,50-68, , 
7:59.0, , ,50-70,+2,K. Porziņģis makes 2-pt layup from 3 ft
7:35.0,Turnover by D. Cousins (bad pass; steal by J. Holiday), ,50-70, , 
7:31.0, , ,50-70, ,Turnover by J. Holiday (lost ball; steal by A. Afflalo)
7:26.0,Personal foul by J. Noah (drawn by W. Cauley-Stein), ,50-70, , 
7:26.0,W. Cauley-Stein misses free throw 1 of 2, ,50-70, , 
7:26.0,Offensive rebound by Team, ,50-70, , 
7:26.0,W. Cauley-Stein misses free throw 2 of 2, ,50-70, , 
7:26.0,O. Casspi enters the game for A. Afflalo, ,50-70, , 
7:25.0, , ,50-70, ,Defensive rebound by K. Porziņģis
7:09.0, , ,50-70, ,C. Anthony misses 3-pt jump shot from 26 ft
7:08.0,Defensive rebound by O. Casspi, ,50-70, , 
7:02.0,R. Gay makes 3-pt jump shot from 25 ft (assist by D. Cousins),+3,53-70, , 
6:51.0, , ,53-72,+2,D. Rose makes 2-pt layup from 1 ft
6:37.0,D. Cousins misses 3-pt jump shot from 25 ft, ,53-72, , 
6:37.0, , ,53-72, ,Defensive rebound by D. Rose
6:35.0, , ,53-72, ,Turnover by D. Rose (traveling)
6:16.0,R. Gay makes 2-pt jump shot from 7 ft (assist by O. Casspi),+2,55-72, , 
6:02.0, , ,55-72, ,J. Holiday misses 3-pt jump shot from 25 ft
6:02.0,Defensive rebound by R. Gay, ,55-72, , 
5:52.0,D. Collison makes 3-pt jump shot from 26 ft,+3,58-72, , 
5:37.0, , ,58-72, ,K. Porziņģis misses 3-pt jump shot from 26 ft
5:36.0,Defensive rebound by W. Cauley-Stein, ,58-72, , 
5:32.0,Personal foul by K. Porziņģis (drawn by D. Cousins), ,58-72, , 
5:32.0, , ,58-72, ,New York full timeout
5:32.0, , ,58-72, ,K. O'Quinn enters the game for K. Porziņģis
5:32.0, , ,58-72, ,L. Thomas enters the game for J. Noah
5:18.0,D. Cousins misses 2-pt hook shot from 7 ft, ,58-72, , 
5:17.0,Offensive rebound by D. Cousins, ,58-72, , 
5:16.0,D. Cousins makes 2-pt layup from 2 ft,+2,60-72, , 
5:16.0,Shooting foul by K. O'Quinn (drawn by D. Cousins), ,60-72, , 
5:16.0,D. Cousins makes free throw 1 of 1,+1,61-72, , 
4:51.0, , ,61-72, ,C. Anthony misses 2-pt jump shot from 15 ft
4:50.0,Defensive rebound by D. Cousins, ,61-72, , 
4:42.0,Personal foul by J. Holiday (drawn by R. Gay), ,61-72, , 
4:42.0,R. Gay makes free throw 1 of 2,+1,62-72, , 
4:42.0,R. Gay makes free throw 2 of 2,+1,63-72, , 
4:27.0, , ,63-72, ,D. Rose misses 2-pt jump shot from 11 ft
4:26.0,Defensive rebound by Team, ,63-72, , 
4:17.0,Shooting foul by C. Anthony (drawn by D. Collison), ,63-72, , 
4:17.0,D. Collison makes free throw 1 of 2,+1,64-72, , 
4:17.0,D. Collison makes free throw 2 of 2,+1,65-72, , 
4:01.0, , ,65-72, ,New York full timeout
3:53.0, , ,65-72, ,C. Anthony misses 2-pt jump shot from 17 ft (block by D. Cousins)
3:52.0, , ,65-72, ,Offensive rebound by Team
3:52.0, , ,65-72, ,Turnover by Team (shot clock)
3:43.0,Personal foul by L. Thomas (drawn by D. Collison), ,65-72, , 
3:43.0,D. Collison makes free throw 1 of 2,+1,66-72, , 
3:43.0, , ,66-72, ,B. Jennings enters the game for D. Rose
3:43.0, , ,66-72, ,S. Vujačić enters the game for J. Holiday
3:43.0,D. Collison makes free throw 2 of 2,+1,67-72, , 
3:26.0, , ,67-72, ,Offensive foul by L. Thomas (drawn by D. Cousins)
3:26.0, , ,67-72, ,Turnover by L. Thomas (offensive foul)
3:13.0,Shooting foul by K. O'Quinn (drawn by D. Cousins), ,67-72, , 
3:13.0,D. Cousins makes free throw 1 of 2,+1,68-72, , 
3:13.0,D. Cousins makes free throw 2 of 2,+1,69-72, , 
2:55.0, , ,69-72, ,Turnover by L. Thomas (traveling)
2:55.0,Sacramento full timeout, ,69-72, , 
2:55.0,M. Barnes enters the game for R. Gay, ,69-72, , 
2:38.0,D. Cousins misses 2-pt jump shot from 19 ft, ,69-72, , 
2:37.0, , ,69-72, ,Defensive rebound by L. Thomas
2:17.0, , ,69-72, ,Personal foul by D. Collison (drawn by B. Jennings)
2:17.0, , ,69-72, ,W. Hernangómez enters the game for C. Anthony
2:10.0, , ,69-72, ,K. O'Quinn misses 2-pt dunk at rim
2:09.0,Defensive rebound by M. Barnes, ,69-72, , 
2:03.0,M. Barnes misses 3-pt jump shot from 25 ft, ,69-72, , 
2:02.0, , ,69-72, ,Defensive rebound by K. O'Quinn
1:55.0, , ,69-72, ,Turnover by B. Jennings (bad pass; steal by M. Barnes)
1:52.0,Shooting foul by S. Vujačić (drawn by O. Casspi), ,69-72, , 
1:52.0,O. Casspi makes free throw 1 of 2,+1,70-72, , 
1:52.0,O. Casspi makes free throw 2 of 2,+1,71-72, , 
1:38.0, , ,71-74,+2,K. O'Quinn makes 2-pt layup from 2 ft (assist by B. Jennings)
1:24.0,W. Cauley-Stein makes 2-pt hook shot from 3 ft (assist by M. Barnes),+2,73-74, , 
1:04.0, , ,73-74, ,Shooting foul by W. Cauley-Stein (drawn by L. Thomas)
1:04.0, , ,73-75,+1,L. Thomas makes free throw 1 of 2
1:04.0, , ,73-76,+1,L. Thomas makes free throw 2 of 2
0:54.0,D. Collison misses 2-pt layup from 3 ft (block by K. O'Quinn), ,73-76, , 
0:53.0,Offensive rebound by D. Cousins, ,73-76, , 
0:48.0,W. Cauley-Stein makes 2-pt dunk at rim (assist by D. Cousins),+2,75-76, , 
0:35.0, , ,75-76, ,Shooting foul by W. Cauley-Stein (drawn by B. Jennings)
0:35.0, , ,75-77,+1,B. Jennings makes free throw 1 of 3
0:35.0, , ,75-78,+1,B. Jennings makes free throw 2 of 3
0:35.0, , ,75-79,+1,B. Jennings makes free throw 3 of 3
0:19.0,M. Barnes makes 2-pt layup from 2 ft,+2,77-79, , 
0:01.0, , ,77-81,+2,B. Jennings makes 2-pt jump shot from 22 ft
11:43.0, , ,77-83,+2,K. Porziņģis makes 2-pt jump shot from 18 ft (assist by S. Vujačić)
11:23.0,D. Cousins misses 2-pt jump shot from 5 ft (block by K. Porziņģis), ,77-83, , 
11:22.0,Offensive rebound by D. Cousins, ,77-83, , 
11:21.0,Shooting foul by W. Hernangómez (drawn by D. Cousins), ,77-83, , 
11:21.0,D. Cousins makes free throw 1 of 2,+1,78-83, , 
11:21.0,D. Cousins makes free throw 2 of 2,+1,79-83, , 
11:06.0, , ,79-85,+2,S. Vujačić makes 2-pt jump shot from 18 ft
10:39.0,M. Barnes misses 2-pt jump shot from 21 ft, ,79-85, , 
10:38.0,Offensive rebound by D. Cousins, ,79-85, , 
10:38.0,D. Cousins misses 2-pt dunk at rim, ,79-85, , 
10:37.0, , ,79-85, ,Defensive rebound by W. Hernangómez
10:33.0, , ,79-85, ,Shooting foul by D. Collison (drawn by K. Porziņģis)
10:33.0, , ,79-86,+1,K. Porziņģis makes free throw 1 of 2
10:33.0, , ,79-87,+1,K. Porziņģis makes free throw 2 of 2
10:19.0,Shooting foul by K. Porziņģis (drawn by D. Cousins), ,79-87, , 
10:19.0,D. Cousins makes 2-pt layup at rim,+2,81-87, , 
10:19.0, , ,81-87, ,J. Noah enters the game for W. Hernangómez
10:19.0,D. Cousins makes free throw 1 of 1,+1,82-87, , 
10:06.0, , ,82-87, ,L. Thomas misses 3-pt jump shot from 23 ft
10:05.0, , ,82-87, ,Offensive rebound by K. Porziņģis
10:03.0, , ,82-87, ,Turnover by K. Porziņģis (bad pass; steal by W. Cauley-Stein)
9:49.0,D. Collison misses 2-pt jump shot from 18 ft, ,82-87, , 
9:48.0, , ,82-87, ,Defensive rebound by L. Thomas
9:35.0, , ,82-87, ,L. Thomas misses 3-pt jump shot from 24 ft
9:34.0,Defensive rebound by O. Casspi, ,82-87, , 
9:22.0,M. Barnes misses 2-pt layup from 3 ft (block by K. Porziņģis), ,82-87, , 
9:21.0, , ,82-87, ,Defensive rebound by B. Jennings
9:20.0, , ,82-87, ,Personal foul by O. Casspi (drawn by B. Jennings)
9:20.0, , ,82-87, ,D. Rose enters the game for L. Thomas
9:04.0, , ,82-87, ,Turnover by D. Rose (lost ball; steal by O. Casspi)
9:00.0,O. Casspi makes 2-pt layup from 2 ft,+2,84-87, , 
