time,away_description,away_change,score,home_change,home_description
6:28.0, , ,18-9, ,Defensive rebound by E. İlyasova
6:22.0, , ,18-9, ,Turnover by E. İlyasova (lost ball; steal by T. Ariza)
6:17.0,Turnover by J. Harden (bad pass; steal by N. Noel), ,18-9, , 
6:14.0, , ,18-11,+2,E. İlyasova makes 2-pt dunk at rim (assist by N. Noel)
6:00.0,C. Capela makes 2-pt layup from 3 ft (assist by P. Beverley),+2,20-11, , 
5:38.0, , ,20-11, ,Philadelphia full timeout
5:38.0, , ,20-11, ,Personal foul by T. Ariza (drawn by R. Covington)
5:38.0, , ,20-11, ,G. Henderson enters the game for N. Stauskas
5:38.0, , ,20-11, ,D. Šarić enters the game for E. İlyasova
5:31.0, , ,20-11, ,Turnover by G. Henderson (bad pass; steal by T. Ariza)
5:22.0,T. Ariza misses 3-pt jump shot from 28 ft, ,20-11, , 
5:21.0, , ,20-11, ,Defensive rebound by N. Noel
5:10.0, , ,20-14,+3,S. Rodríguez makes 3-pt jump shot from 25 ft (assist by N. Noel)
4:47.0,J. Harden misses 2-pt layup from 1 ft (block by N. Noel), ,20-14, , 
4:46.0, , ,20-14, ,Defensive rebound by D. Šarić
4:23.0, , ,20-16,+2,N. Noel makes 2-pt hook shot from 2 ft (assist by G. Henderson)
4:08.0,C. Capela makes 2-pt dunk at rim (assist by P. Beverley),+2,22-16, , 
4:08.0,Shooting foul by S. Rodríguez (drawn by C. Capela), ,22-16, , 
4:08.0,S. Dekker enters the game for P. Beverley, ,22-16, , 
4:08.0,C. Capela makes free throw 1 of 1,+1,23-16, , 
3:56.0, , ,23-16, ,S. Rodríguez misses 3-pt jump shot from 24 ft
3:55.0,Defensive rebound by R. Anderson, ,23-16, , 
3:44.0,Shooting foul by G. Henderson (drawn by R. Anderson), ,23-16, , 
3:44.0,R. Anderson makes free throw 1 of 2,+1,24-16, , 
3:44.0,R. Anderson makes free throw 2 of 2,+1,25-16, , 
3:29.0, , ,25-16, ,R. Covington misses 2-pt jump shot from 5 ft
3:28.0,Defensive rebound by J. Harden, ,25-16, , 
3:19.0,C. Capela makes 2-pt dunk at rim (assist by J. Harden),+2,27-16, , 
2:58.0, , ,27-18,+2,G. Henderson makes 2-pt jump shot from 8 ft
2:39.0,Turnover by J. Harden (bad pass; steal by R. Covington), ,27-18, , 
2:36.0, , ,27-18, ,Turnover by S. Rodríguez (bad pass; steal by S. Dekker)
2:35.0,Turnover by S. Dekker (bad pass), ,27-18, , 
2:35.0,Houston full timeout, ,27-18, , 
2:35.0,C. Brewer enters the game for R. Anderson, ,27-18, , 
2:35.0, , ,27-18, ,T. McConnell enters the game for S. Rodríguez
2:35.0, , ,27-18, ,T. Luwawu-Cabarrot enters the game for R. Covington
2:24.0, , ,27-18, ,D. Šarić misses 2-pt jump shot from 21 ft
2:23.0,Defensive rebound by J. Harden, ,27-18, , 
2:17.0,C. Capela misses 2-pt layup from 2 ft (block by D. Šarić), ,27-18, , 
2:16.0, , ,27-18, ,Defensive rebound by T. Luwawu-Cabarrot
2:07.0, , ,27-21,+3,T. Luwawu-Cabarrot makes 3-pt jump shot from 26 ft (assist by G. Henderson)
1:45.0,Turnover by C. Capela (bad pass; steal by D. Šarić), ,27-21, , 
1:41.0, , ,27-23,+2,T. Luwawu-Cabarrot makes 2-pt layup from 2 ft (assist by D. Šarić)
1:41.0, , ,27-23, ,Shooting foul by C. Capela (drawn by T. Luwawu-Cabarrot)
1:41.0, , ,27-23, ,J. Embiid enters the game for N. Noel
1:41.0,N. Hilário enters the game for C. Capela, ,27-23, , 
1:41.0, , ,27-24,+1,T. Luwawu-Cabarrot makes free throw 1 of 1
1:26.0,Turnover by S. Dekker (lost ball), ,27-24, , 
1:16.0, , ,27-24, ,Personal foul by N. Hilário (drawn by J. Embiid)
1:16.0, , ,27-25,+1,J. Embiid makes free throw 1 of 2
1:16.0, , ,27-26,+1,J. Embiid makes free throw 2 of 2
0:51.0,Turnover by Team (shot clock), ,27-26, , 
0:34.0, , ,27-26, ,Turnover by J. Embiid (lost ball; steal by J. Harden)
0:29.0,S. Dekker misses 2-pt layup from 1 ft, ,27-26, , 
0:28.0,Offensive rebound by N. Hilário, ,27-26, , 
0:27.0,N. Hilário makes 2-pt dunk at rim,+2,29-26, , 
0:21.0, , ,29-28,+2,D. Šarić makes 2-pt layup from 1 ft (assist by J. Embiid)
0:05.0,Personal foul by T. McConnell (drawn by J. Harden), ,29-28, , 
0:01.0,C. Brewer misses 2-pt jump shot from 6 ft, ,29-28, , 
0:01.0,Offensive rebound by N. Hilário, ,29-28, , 
0:00.0,N. Hilário makes 2-pt layup from 2 ft,+2,31-28, , 
11:44.0,S. Dekker makes 2-pt dunk at rim (assist by P. Beverley),+2,33-28, , 
11:25.0, , ,33-28, ,Turnover by J. Embiid (step out of bounds)
11:13.0,Turnover by P. Beverley (bad pass; steal by G. Henderson), ,33-28, , 
10:50.0, , ,33-30,+2,D. Šarić makes 2-pt layup from 2 ft
10:47.0,Turnover by S. Dekker (bad pass; steal by G. Henderson), ,33-30, , 
10:43.0, , ,33-30, ,Personal foul by P. Beverley (drawn by T. McConnell)
10:43.0, , ,33-31,+1,T. McConnell makes free throw 1 of 2
10:43.0, , ,33-31, ,T. McConnell misses free throw 2 of 2
10:42.0, , ,33-31, ,Offensive rebound by J. Embiid
10:33.0, , ,33-33,+2,J. Embiid makes 2-pt hook shot from 2 ft (assist by G. Henderson)
10:09.0,N. Hilário misses 2-pt jump shot from 20 ft, ,33-33, , 
10:08.0, , ,33-33, ,Defensive rebound by D. Šarić
9:57.0, , ,33-33, ,J. Embiid misses 2-pt jump shot from 11 ft
9:56.0,Defensive rebound by T. Ariza, ,33-33, , 
9:50.0,S. Dekker makes 3-pt jump shot from 24 ft (assist by T. Ariza),+3,36-33, , 
9:49.0, , ,36-33, ,Philadelphia full timeout
9:49.0,R. Anderson enters the game for T. Ariza, ,36-33, , 
9:40.0, , ,36-33, ,Turnover by J. Embiid (offensive foul)
9:40.0, , ,36-33, ,Offensive foul by J. Embiid (drawn by S. Dekker)
9:40.0, , ,36-33, ,E. İlyasova enters the game for D. Šarić
9:40.0, , ,36-33, ,R. Covington enters the game for G. Henderson
9:29.0,N. Hilário makes 2-pt dunk at rim (assist by P. Beverley),+2,38-33, , 
9:15.0, , ,38-33, ,Turnover by T. Luwawu-Cabarrot (traveling)
9:05.0,N. Hilário makes 2-pt layup from 2 ft (assist by P. Beverley),+2,40-33, , 
8:52.0, , ,40-35,+2,T. Luwawu-Cabarrot makes 2-pt layup from 2 ft (assist by J. Embiid)
8:42.0,Turnover by P. Beverley (lost ball; steal by J. Embiid), ,40-35, , 
8:34.0, , ,40-37,+2,T. Luwawu-Cabarrot makes 2-pt layup from 2 ft (assist by T. McConnell)
8:13.0,R. Anderson misses 2-pt jump shot from 11 ft, ,40-37, , 
8:12.0, , ,40-37, ,Defensive rebound by J. Embiid
7:59.0, , ,40-39,+2,T. McConnell makes 2-pt layup at rim
7:59.0, , ,40-39, ,Shooting foul by S. Dekker (drawn by T. McConnell)
7:59.0,C. Capela enters the game for N. Hilário, ,40-39, , 
7:59.0, , ,40-39, ,N. Noel enters the game for J. Embiid
7:59.0, , ,40-40,+1,T. McConnell makes free throw 1 of 1
7:46.0,Personal foul by T. Luwawu-Cabarrot (drawn by C. Capela), ,40-40, , 
7:46.0, , ,40-40, ,S. Rodríguez enters the game for T. McConnell
7:43.0,Turnover by C. Capela (lost ball; steal by N. Noel), ,40-40, , 
7:38.0, , ,40-42,+2,T. Luwawu-Cabarrot makes 2-pt layup from 1 ft (assist by R. Covington)
7:14.0,P. Beverley makes 3-pt jump shot from 24 ft,+3,43-42, , 
7:05.0, , ,43-42, ,E. İlyasova misses 2-pt jump shot from 10 ft
7:04.0,Defensive rebound by C. Capela, ,43-42, , 
6:50.0,C. Capela makes 2-pt dunk at rim (assist by C. Brewer),+2,45-42, , 
6:39.0, , ,45-42, ,Shooting foul by P. Beverley (drawn by N. Noel)
6:39.0, , ,45-42, ,N. Noel misses free throw 1 of 2
6:39.0, , ,45-42, ,Offensive rebound by Team
6:39.0,J. Harden enters the game for C. Brewer, ,45-42, , 
6:39.0, , ,45-42, ,N. Stauskas enters the game for T. Luwawu-Cabarrot
6:39.0, , ,45-43,+1,N. Noel makes free throw 2 of 2
6:34.0,Shooting foul by N. Noel (drawn by C. Capela), ,45-43, , 
6:34.0,C. Capela makes free throw 1 of 2,+1,46-43, , 
6:34.0, , ,46-43, ,Violation by S. Rodríguez (lane)
6:34.0,C. Capela makes free throw 2 of 2,+1,47-43, , 
6:26.0, , ,47-45,+2,N. Noel makes 2-pt dunk at rim (assist by S. Rodríguez)
6:04.0,S. Dekker makes 2-pt dunk at rim (assist by J. Harden),+2,49-45, , 
5:51.0, , ,49-45, ,Turnover by S. Rodríguez (lost ball; steal by C. Capela)
5:41.0,C. Capela misses 2-pt layup from 3 ft, ,49-45, , 
5:39.0,Offensive rebound by C. Capela, ,49-45, , 
5:37.0,C. Capela misses 2-pt layup from 1 ft, ,49-45, , 
5:35.0,Offensive rebound by J. Harden, ,49-45, , 
5:34.0,P. Beverley misses 3-pt jump shot from 25 ft, ,49-45, , 
5:33.0, , ,49-45, ,Defensive rebound by Team
5:20.0,T. Ariza enters the game for P. Beverley, ,49-45, , 
4:58.0, , ,49-45, ,E. İlyasova misses 3-pt jump shot from 25 ft
4:57.0,Defensive rebound by S. Dekker, ,49-45, , 
4:56.0,Personal foul by R. Covington (drawn by J. Harden), ,49-45, , 
4:49.0,Offensive foul by C. Capela (drawn by R. Covington), ,49-45, , 
4:49.0,Turnover by C. Capela (offensive foul), ,49-45, , 
4:37.0, , ,49-45, ,N. Stauskas misses 2-pt layup from 3 ft
4:36.0,Defensive rebound by J. Harden, ,49-45, , 
4:31.0,Turnover by S. Dekker (bad pass), ,49-45, , 
4:20.0, , ,49-48,+3,S. Rodríguez makes 3-pt jump shot from 25 ft
4:09.0,Turnover by T. Ariza (bad pass; steal by R. Covington), ,49-48, , 
4:03.0, , ,49-48, ,E. İlyasova misses 2-pt layup from 2 ft (block by C. Capela)
4:02.0,Defensive rebound by S. Dekker, ,49-48, , 
3:58.0,T. Ariza makes 3-pt jump shot from 24 ft (assist by S. Dekker),+3,52-48, , 
3:43.0, , ,52-48, ,S. Rodríguez misses 3-pt jump shot from 24 ft
3:42.0,Defensive rebound by S. Dekker, ,52-48, , 
3:26.0,T. Ariza misses 3-pt jump shot from 24 ft, ,52-48, , 
3:25.0, , ,52-48, ,Defensive rebound by Team
3:11.0, , ,52-50,+2,R. Covington makes 2-pt jump shot from 7 ft (assist by N. Stauskas)
3:11.0, , ,52-50, ,Shooting foul by S. Dekker (drawn by R. Covington)
3:11.0, , ,52-50, ,J. Embiid enters the game for N. Noel
3:11.0,P. Beverley enters the game for S. Dekker, ,52-50, , 
3:11.0, , ,52-50, ,T. McConnell enters the game for S. Rodríguez
3:11.0, , ,52-51,+1,R. Covington makes free throw 1 of 1
2:59.0,C. Capela makes 2-pt dunk at rim (assist by J. Harden),+2,54-51, , 
2:46.0, , ,54-51, ,Shooting foul by C. Capela (drawn by R. Covington)
2:46.0,Houston full timeout, ,54-51, , 
2:46.0, , ,54-52,+1,R. Covington makes free throw 1 of 2
2:46.0, , ,54-51, ,D. Šarić enters the game for E. İlyasova
2:46.0,N. Hilário enters the game for C. Capela, ,54-51, , 
2:46.0, , ,54-53,+1,R. Covington makes free throw 2 of 2
2:35.0, , ,54-53, ,G. Henderson enters the game for R. Covington
2:28.0,J. Harden makes 2-pt layup from 3 ft,+2,56-53, , 
2:15.0, , ,56-53, ,J. Embiid misses 3-pt jump shot from 24 ft
2:14.0,Defensive rebound by J. Harden, ,56-53, , 
1:59.0,Turnover by N. Hilário (bad pass; steal by T. McConnell), ,56-53, , 
1:47.0, , ,56-55,+2,D. Šarić makes 2-pt layup from 2 ft (assist by G. Henderson)
1:40.0,Turnover by R. Anderson (lost ball; steal by J. Embiid), ,56-55, , 
1:26.0, , ,56-57,+2,N. Stauskas makes 2-pt dunk at rim (assist by J. Embiid)
1:21.0,Turnover by N. Hilário (bad pass; steal by T. McConnell), ,56-57, , 
1:15.0, , ,56-59,+2,G. Henderson makes 2-pt layup at rim (assist by T. McConnell)
1:03.0,J. Harden misses 2-pt jump shot from 18 ft, ,56-59, , 
1:02.0, , ,56-59, ,Defensive rebound by D. Šarić
0:56.0, , ,56-59, ,Personal foul by J. Harden (drawn by T. McConnell)
0:56.0, , ,56-60,+1,T. McConnell makes free throw 1 of 2
0:56.0, , ,56-60, ,N. Noel enters the game for J. Embiid
0:56.0, , ,56-61,+1,T. McConnell makes free throw 2 of 2
0:40.0,J. Harden makes 2-pt jump shot from 12 ft,+2,58-61, , 
0:40.0, , ,58-61, ,Philadelphia full timeout
0:23.0, , ,58-61, ,Turnover by T. McConnell (traveling)
0:02.0,J. Harden makes 3-pt jump shot from 24 ft,+3,61-61, , 
0:00.0, , ,61-61, ,N. Stauskas misses 3-pt jump shot from 56 ft
0:00.0, , ,61-61, ,Offensive rebound by Team
11:45.0,Personal foul by T. McConnell (drawn by J. Harden), ,61-61, , 
11:38.0,J. Harden misses 2-pt jump shot from 8 ft, ,61-61, , 
11:37.0, , ,61-61, ,Defensive rebound by J. Embiid
11:31.0,Offensive charge foul by R. Covington (drawn by R. Anderson), ,61-61, , 
11:31.0, , ,61-61, ,Turnover by R. Covington (offensive foul)
11:18.0,N. Hilário misses 2-pt jump shot from 13 ft, ,61-61, , 
11:17.0, , ,61-61, ,Defensive rebound by Team
11:17.0, , ,61-61, ,G. Henderson enters the game for R. Covington
11:05.0, , ,61-61, ,Offensive foul by J. Embiid (drawn by N. Hilário)
11:05.0, , ,61-61, ,Turnover by J. Embiid (offensive foul)
10:55.0,N. Hilário makes 2-pt layup from 2 ft (assist by J. Harden),+2,63-61, , 
10:37.0, , ,63-61, ,J. Embiid misses 2-pt jump shot from 16 ft
10:36.0,Defensive rebound by J. Harden, ,63-61, , 
10:31.0,Shooting foul by T. McConnell (drawn by J. Harden), ,63-61, , 
10:31.0,J. Harden makes free throw 1 of 3,+1,64-61, , 
10:31.0,J. Harden makes free throw 2 of 3,+1,65-61, , 
10:31.0,J. Harden makes free throw 3 of 3,+1,66-61, , 
10:19.0, , ,66-61, ,E. İlyasova misses 3-pt jump shot from 27 ft
10:18.0,Defensive rebound by P. Beverley, ,66-61, , 
10:12.0,N. Hilário makes 2-pt dunk at rim (assist by P. Beverley),+2,68-61, , 
10:12.0, , ,68-61, ,Philadelphia full timeout
10:04.0, , ,68-61, ,Personal foul by N. Hilário (drawn by J. Embiid)
9:57.0, , ,68-61, ,E. İlyasova misses 3-pt jump shot from 27 ft
9:55.0,Defensive rebound by J. Harden, ,68-61, , 
9:48.0,J. Harden makes 2-pt jump shot from 15 ft,+2,70-61, , 
9:35.0, , ,70-61, ,N. Stauskas misses 2-pt jump shot from 8 ft
9:34.0,Defensive rebound by R. Anderson, ,70-61, , 
9:29.0,P. Beverley misses 2-pt jump shot from 6 ft (block by T. McConnell), ,70-61, , 
9:29.0,Offensive rebound by Team, ,70-61, , 
9:24.0,J. Harden makes 3-pt jump shot from 26 ft (assist by N. Hilário),+3,73-61, , 
9:13.0, , ,73-63,+2,T. McConnell makes 2-pt layup from 1 ft (assist by E. İlyasova)
9:05.0,J. Harden makes 2-pt dunk at rim,+2,75-63, , 
9:03.0, , ,75-63, ,Philadelphia full timeout
9:03.0, , ,75-63, ,R. Covington enters the game for N. Stauskas
8:53.0, , ,75-63, ,Shooting foul by P. Beverley (drawn by T. McConnell)
8:53.0, , ,75-64,+1,T. McConnell makes free throw 1 of 2
8:53.0, , ,75-64, ,T. McConnell misses free throw 2 of 2
8:51.0,Defensive rebound by R. Anderson, ,75-64, , 
8:38.0,Shooting foul by E. İlyasova (drawn by J. Harden), ,75-64, , 
8:38.0,J. Harden makes free throw 1 of 2,+1,76-64, , 
8:38.0, , ,76-64, ,D. Šarić enters the game for E. İlyasova
8:38.0,J. Harden makes free throw 2 of 2,+1,77-64, , 
8:30.0, , ,77-66,+2,J. Embiid makes 2-pt layup from 1 ft (assist by D. Šarić)
8:08.0,R. Anderson misses 3-pt jump shot from 28 ft, ,77-66, , 
8:06.0, , ,77-66, ,Defensive rebound by Team
7:47.0, , ,77-66, ,Turnover by T. McConnell (bad pass; steal by T. Ariza)
7:43.0,J. Harden misses 2-pt layup from 1 ft (block by J. Embiid), ,77-66, , 
7:42.0, , ,77-66, ,Defensive rebound by R. Covington
7:34.0, , ,77-68,+2,J. Embiid makes 2-pt hook shot from 2 ft
7:22.0,T. Ariza misses 3-pt jump shot from 26 ft, ,77-68, , 
7:21.0, , ,77-68, ,Defensive rebound by D. Šarić
7:17.0, , ,77-68, ,Turnover by D. Šarić (lost ball)
7:02.0,J. Harden misses 3-pt jump shot from 26 ft, ,77-68, , 
7:01.0, , ,77-68, ,Defensive rebound by R. Covington
6:52.0, , ,77-71,+3,G. Henderson makes 3-pt jump shot from 24 ft (assist by R. Covington)
6:35.0,N. Hilário makes 2-pt dunk at rim (assist by J. Harden),+2,79-71, , 
6:27.0, , ,79-74,+3,J. Embiid makes 3-pt jump shot from 26 ft (assist by T. McConnell)
6:07.0,Turnover by N. Hilário (traveling), ,79-74, , 
6:07.0,C. Capela enters the game for N. Hilário, ,79-74, , 
5:50.0, , ,79-74, ,J. Embiid misses 2-pt hook shot from 8 ft
5:49.0,Defensive rebound by P. Beverley, ,79-74, , 
5:45.0, , ,79-74, ,N. Noel enters the game for J. Embiid
5:42.0,J. Harden misses 3-pt jump shot from 24 ft, ,79-74, , 
5:41.0, , ,79-74, ,Defensive rebound by N. Noel
5:34.0, , ,79-74, ,Personal block foul by T. Ariza (drawn by G. Henderson)
5:34.0, , ,79-74, ,S. Rodríguez enters the game for T. McConnell
5:34.0,S. Dekker enters the game for P. Beverley, ,79-74, , 
5:25.0, , ,79-74, ,D. Šarić misses 2-pt layup from 1 ft
5:24.0, , ,79-74, ,Offensive rebound by N. Noel
5:23.0, , ,79-74, ,N. Noel misses 2-pt layup from 1 ft
5:21.0,Defensive rebound by T. Ariza, ,79-74, , 
5:02.0,Shooting foul by D. Šarić (drawn by J. Harden), ,79-74, , 
5:02.0,J. Harden misses free throw 1 of 3, ,79-74, , 
5:02.0,Offensive rebound by Team, ,79-74, , 
5:02.0,J. Harden makes free throw 2 of 3,+1,80-74, , 
5:02.0,J. Harden makes free throw 3 of 3,+1,81-74, , 
4:53.0, , ,81-74, ,R. Covington misses 3-pt jump shot from 26 ft
4:52.0,Defensive rebound by C. Capela, ,81-74, , 
4:36.0,C. Capela makes 2-pt layup from 2 ft (assist by J. Harden),+2,83-74, , 
4:12.0, , ,83-76,+2,G. Henderson makes 2-pt dunk at rim
3:50.0,R. Anderson misses 2-pt layup at rim, ,83-76, , 
3:49.0, , ,83-76, ,Defensive rebound by N. Noel
3:43.0, , ,83-76, ,D. Šarić misses 3-pt jump shot from 26 ft
3:42.0,Defensive rebound by C. Capela, ,83-76, , 
3:38.0,Offensive foul by J. Harden (drawn by N. Noel), ,83-76, , 
3:38.0,Turnover by J. Harden (offensive foul), ,83-76, , 
3:23.0, , ,83-76, ,D. Šarić misses 2-pt layup from 2 ft
3:22.0, , ,83-76, ,Offensive rebound by Team
3:22.0,Loose ball foul by S. Dekker (drawn by R. Covington), ,83-76, , 
3:18.0, , ,83-78,+2,R. Covington makes 2-pt layup from 1 ft (assist by N. Noel)
2:59.0,Turnover by T. Ariza (bad pass), ,83-78, , 
2:59.0,Houston full timeout, ,83-78, , 
2:59.0, , ,83-78, ,T. Luwawu-Cabarrot enters the game for G. Henderson
2:48.0, , ,83-78, ,Turnover by D. Šarić (bad pass; steal by C. Capela)
2:38.0,S. Dekker misses 3-pt jump shot from 25 ft, ,83-78, , 
2:37.0, , ,83-78, ,Defensive rebound by R. Covington
2:22.0, , ,83-78, ,Turnover by T. Luwawu-Cabarrot (lost ball; steal by S. Dekker)
2:16.0,R. Anderson makes 3-pt jump shot from 26 ft (assist by J. Harden),+3,86-78, , 
2:10.0, , ,86-78, ,Personal foul by J. Harden (drawn by D. Šarić)
2:10.0, , ,86-78, ,D. Šarić misses free throw 1 of 2
2:10.0, , ,86-78, ,Offensive rebound by Team
2:10.0,C. Brewer enters the game for T. Ariza, ,86-78, , 
2:10.0, , ,86-79,+1,D. Šarić makes free throw 2 of 2
1:48.0,J. Harden makes 3-pt jump shot from 27 ft,+3,89-79, , 
1:27.0, , ,89-81,+2,D. Šarić makes 2-pt dunk at rim (assist by S. Rodríguez)
1:12.0,J. Harden misses 2-pt jump shot from 5 ft (block by N. Noel), ,89-81, , 
1:11.0,Offensive rebound by R. Anderson, ,89-81, , 
1:09.0,Turnover by R. Anderson (traveling), ,89-81, , 
0:57.0, , ,89-81, ,S. Rodríguez misses 2-pt jump shot from 5 ft (block by J. Harden)
0:53.0, , ,89-81, ,Offensive rebound by Team
0:45.0, , ,89-81, ,D. Šarić misses 2-pt jump shot from 18 ft
0:43.0,Defensive rebound by C. Capela, ,89-81, , 
0:34.0,R. Anderson makes 3-pt jump shot from 27 ft (assist by J. Harden),+3,92-81, , 
0:24.0, , ,92-81, ,Personal foul by R. Anderson (drawn by D. Šarić)
0:24.0, , ,92-82,+1,D. Šarić makes free throw 1 of 2
0:24.0, , ,92-82, ,D. Šarić misses free throw 2 of 2
0:23.0,Defensive rebound by J. Harden, ,92-82, , 
0:01.0,J. Harden makes 2-pt jump shot from 19 ft,+2,94-82, , 
11:44.0, , ,94-84,+2,J. Embiid makes 2-pt jump shot from 18 ft
11:31.0,Turnover by C. Capela (bad pass; steal by J. Embiid), ,94-84, , 
11:18.0, , ,94-87,+3,J. Embiid makes 3-pt jump shot from 25 ft (assist by T. McConnell)
10:57.0,C. Brewer misses 2-pt layup from 2 ft, ,94-87, , 
10:56.0, , ,94-87, ,Defensive rebound by J. Embiid
10:48.0, , ,94-90,+3,J. Embiid makes 3-pt jump shot from 26 ft (assist by N. Stauskas)
10:47.0,Houston full timeout, ,94-90, , 
10:47.0,R. Anderson enters the game for C. Brewer, ,94-90, , 
10:47.0,N. Hilário enters the game for C. Capela, ,94-90, , 
10:32.0,Shooting foul by T. McConnell (drawn by P. Beverley), ,94-90, , 
10:32.0,P. Beverley makes free throw 1 of 2,+1,95-90, , 
10:32.0, , ,95-90, ,S. Rodríguez enters the game for T. McConnell
10:32.0,P. Beverley makes free throw 2 of 2,+1,96-90, , 
10:16.0, , ,96-90, ,Turnover by T. Luwawu-Cabarrot (bad pass; steal by T. Ariza)
10:14.0,Clear path foul by N. Stauskas, ,96-90, , 
10:14.0,T. Ariza makes clear path free throw 1 of 2,+1,97-90, , 
10:14.0,T. Ariza makes clear path free throw 2 of 2,+1,98-90, , 
10:00.0,T. Ariza misses 3-pt jump shot from 27 ft, ,98-90, , 
9:59.0,Offensive rebound by Team, ,98-90, , 
9:59.0, , ,98-90, ,Loose ball foul by E. İlyasova (drawn by N. Hilário)
9:59.0, , ,98-90, ,R. Covington enters the game for T. Luwawu-Cabarrot
9:50.0,P. Beverley makes 2-pt jump shot from 15 ft,+2,100-90, , 
9:43.0, , ,100-90, ,Personal foul by R. Anderson (drawn by J. Embiid)
9:27.0, , ,100-90, ,J. Embiid misses 2-pt jump shot from 6 ft
9:26.0,Defensive rebound by N. Hilário, ,100-90, , 
9:10.0,R. Anderson misses 3-pt jump shot from 25 ft, ,100-90, , 
9:09.0, , ,100-90, ,Defensive rebound by E. İlyasova
9:00.0, , ,100-92,+2,E. İlyasova makes 2-pt jump shot from 7 ft (assist by N. Stauskas)
8:44.0,Turnover by P. Beverley (lost ball; steal by S. Rodríguez), ,100-92, , 
8:44.0,Loose ball foul by N. Hilário (drawn by S. Rodríguez), ,100-92, , 
8:30.0, , ,100-94,+2,J. Embiid makes 2-pt jump shot from 10 ft
8:30.0, , ,100-94, ,Shooting foul by N. Hilário (drawn by J. Embiid)
8:30.0,C. Capela enters the game for N. Hilário, ,100-94, , 
8:30.0,J. Harden enters the game for S. Dekker, ,100-94, , 
8:30.0, , ,100-95,+1,J. Embiid makes free throw 1 of 1
8:19.0,J. Harden makes 2-pt jump shot from 6 ft,+2,102-95, , 
7:58.0, , ,102-95, ,J. Embiid misses 2-pt jump shot from 17 ft
7:57.0,Defensive rebound by J. Harden, ,102-95, , 
7:50.0,J. Harden makes 2-pt layup from 2 ft,+2,104-95, , 
7:44.0, , ,104-95, ,Philadelphia full timeout
7:44.0, , ,104-95, ,N. Noel enters the game for J. Embiid
7:22.0, , ,104-95, ,N. Stauskas misses 3-pt jump shot from 28 ft
